# R/Å F/kT U/kT
46.70 -0.13 -0.40
46.80 -0.13 -0.39
46.90 -0.13 -0.38
47.00 -0.12 -0.37
47.10 -0.12 -0.36
47.20 -0.12 -0.35
47.30 -0.11 -0.34
47.40 -0.11 -0.33
47.50 -0.11 -0.32
47.60 -0.11 -0.31
47.70 -0.10 -0.31
47.80 -0.10 -0.30
47.90 -0.10 -0.29
48.00 -0.10 -0.28
48.10 -0.09 -0.28
48.20 -0.09 -0.27
48.30 -0.09 -0.26
48.40 -0.09 -0.26
48.50 -0.09 -0.25
48.60 -0.08 -0.25
48.70 -0.08 -0.24
48.80 -0.08 -0.23
48.90 -0.08 -0.23
49.00 -0.08 -0.22
49.10 -0.08 -0.22
49.20 -0.07 -0.21
49.30 -0.07 -0.20
49.40 -0.07 -0.20
49.50 -0.07 -0.19
49.60 -0.06 -0.19
49.70 -0.06 -0.18
49.80 -0.06 -0.17
49.90 -0.06 -0.17
50.00 -0.06 -0.16
50.10 -0.05 -0.16
50.20 -0.05 -0.15
50.30 -0.05 -0.15
50.40 -0.05 -0.14
50.50 -0.04 -0.14
50.60 -0.04 -0.13
50.70 -0.04 -0.13
50.80 -0.04 -0.12
50.90 -0.04 -0.12
51.00 -0.04 -0.11
51.10 -0.03 -0.11
51.20 -0.03 -0.11
51.30 -0.03 -0.10
51.40 -0.03 -0.10
51.50 -0.03 -0.10
51.60 -0.03 -0.09
51.70 -0.03 -0.09
51.80 -0.03 -0.09
51.90 -0.02 -0.08
52.00 -0.02 -0.08
52.10 -0.02 -0.08
52.20 -0.02 -0.07
52.30 -0.02 -0.07
52.40 -0.02 -0.07
52.50 -0.02 -0.07
52.60 -0.02 -0.06
52.70 -0.02 -0.06
52.80 -0.01 -0.06
52.90 -0.01 -0.06
53.00 -0.01 -0.05
53.10 -0.01 -0.05
53.20 -0.01 -0.05
53.30 -0.01 -0.05
53.40 -0.01 -0.04
53.50 -0.01 -0.04
53.60 -0.01 -0.04
53.70 -0.01 -0.04
53.80 -0.00 -0.04
53.90 -0.00 -0.03
54.00 -0.00 -0.03
54.10 -0.00 -0.03
54.20 -0.00 -0.03
54.30 0.00 -0.02
54.40 0.00 -0.02
54.50 0.00 -0.02
54.60 0.00 -0.02
54.70 0.00 -0.01
54.80 0.00 -0.01
54.90 0.01 -0.01
55.00 0.01 -0.01
55.10 0.01 -0.01
55.20 0.01 -0.01
55.30 0.01 -0.01
55.40 0.01 -0.00
55.50 0.01 -0.00
55.60 0.01 -0.00
55.70 0.01 0.00
55.80 0.01 0.00
55.90 0.01 0.00
56.00 0.01 0.00
56.10 0.01 0.00
56.20 0.01 0.01
56.30 0.01 0.01
56.40 0.01 0.01
56.50 0.01 0.01
56.60 0.02 0.01
56.70 0.02 0.01
56.80 0.02 0.01
56.90 0.02 0.01
57.00 0.02 0.01
57.10 0.02 0.01
57.20 0.02 0.01
57.30 0.02 0.01
57.40 0.02 0.01
57.50 0.02 0.01
57.60 0.02 0.02
57.70 0.02 0.02
57.80 0.02 0.02
57.90 0.02 0.02
58.00 0.02 0.02
58.10 0.02 0.02
58.20 0.02 0.02
58.30 0.02 0.02
58.40 0.02 0.02
58.50 0.02 0.02
58.60 0.02 0.02
58.70 0.02 0.02
58.80 0.02 0.02
58.90 0.02 0.02
59.00 0.02 0.02
59.10 0.02 0.02
59.20 0.02 0.02
59.30 0.02 0.02
59.40 0.02 0.02
59.50 0.02 0.02
59.60 0.02 0.02
59.70 0.02 0.02
59.80 0.02 0.02
59.90 0.02 0.02
60.00 0.02 0.02
60.10 0.02 0.02
60.20 0.02 0.02
60.30 0.02 0.02
60.40 0.02 0.02
60.50 0.02 0.02
60.60 0.02 0.02
60.70 0.02 0.02
60.80 0.02 0.02
60.90 0.02 0.02
61.00 0.02 0.02
61.10 0.02 0.02
61.20 0.02 0.02
61.30 0.02 0.02
61.40 0.02 0.02
61.50 0.02 0.01
61.60 0.02 0.01
61.70 0.02 0.01
61.80 0.01 0.01
61.90 0.01 0.01
62.00 0.01 0.01
62.10 0.01 0.01
62.20 0.01 0.01
62.30 0.01 0.01
62.40 0.01 0.01
62.50 0.01 0.01
62.60 0.01 0.01
62.70 0.01 0.01
62.80 0.01 0.01
62.90 0.01 0.01
63.00 0.01 0.01
63.10 0.01 0.01
63.20 0.01 0.01
63.30 0.01 0.01
63.40 0.01 0.01
63.50 0.01 0.01
63.60 0.01 0.01
63.70 0.01 0.01
63.80 0.01 0.01
63.90 0.01 0.01
64.00 0.01 0.01
64.10 0.01 0.01
64.20 0.01 0.01
64.30 0.01 0.01
64.40 0.01 0.01
64.50 0.01 0.01
64.60 0.01 0.01
64.70 0.01 0.01
64.80 0.01 0.01
64.90 0.01 0.01
65.00 0.01 0.01
65.10 0.01 0.01
65.20 0.01 0.01
65.30 0.01 0.01
65.40 0.01 0.01
65.50 0.01 0.01
65.60 0.01 0.01
65.70 0.01 0.01
65.80 0.01 0.01
65.90 0.01 0.01
66.00 0.01 0.01
66.10 0.01 0.01
66.20 0.01 0.01
66.30 0.01 0.01
66.40 0.01 0.01
66.50 0.01 0.01
66.60 0.01 0.01
66.70 0.01 0.01
66.80 0.01 0.01
66.90 0.01 0.01
67.00 0.01 0.01
67.10 0.01 0.01
67.20 0.01 0.01
67.30 0.01 0.01
67.40 0.01 0.01
67.50 0.01 0.01
67.60 0.01 0.01
67.70 0.01 0.01
67.80 0.01 0.01
67.90 0.01 0.01
68.00 0.01 0.01
68.10 0.01 0.01
68.20 0.01 0.01
