# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 614.4728 6.0439e2 1.3605e-11 -1.0000e0
23.50 238.2419 2.2816e2 1.2880e-5 -1.0000e0
24.00 65.7314 5.5653e1 2.6839e-7 -1.0000e0
24.50 20.7808 1.0722e1 1.1194e-1 -1.0000e0
25.00 7.3250 -1.7738e0 6.2027e-1 -9.9934e-1
25.50 3.6206 -4.8010e0 5.5460e-1 -9.7323e-1
26.00 2.6021 -5.2333e0 1.1509e0 -9.2588e-1
26.50 2.1694 -4.7949e0 1.7262e0 -8.8575e-1
27.00 1.8217 -3.9952e0 1.0885e0 -8.3825e-1
27.50 1.1533 -4.0595e0 1.2320e0 -6.8442e-1
28.00 0.8503 -3.7873e0 1.0979e0 -5.7272e-1
28.50 0.6201 -3.5439e0 1.2726e0 -4.6211e-1
29.00 0.4098 -3.2673e0 1.1446e0 -3.3618e-1
29.50 0.1902 -3.1283e0 1.3061e0 -1.7323e-1
30.00 0.0649 -2.8492e0 1.2021e0 -6.2879e-2
30.50 -0.0960 -2.6861e0 1.2094e0 1.0080e-1
31.00 -0.2560 -2.6362e0 1.5060e0 2.9180e-1
31.50 -0.3947 -2.5604e0 1.6371e0 4.8395e-1
32.00 -0.4593 -2.4326e0 1.8023e0 5.8289e-1
32.50 -0.4561 -2.1327e0 1.2253e0 5.7792e-1
33.00 -0.4786 -1.9830e0 1.1595e0 6.1383e-1
33.50 -0.5057 -1.8887e0 1.2271e0 6.5821e-1
34.00 -0.5285 -1.8284e0 1.4315e0 6.9635e-1
34.50 -0.5137 -1.6588e0 1.2471e0 6.7144e-1
35.00 -0.5070 -1.5706e0 1.2463e0 6.6025e-1
35.50 -0.4815 -1.4552e0 1.1969e0 6.1843e-1
36.00 -0.4553 -1.3134e0 1.0384e0 5.7663e-1
36.50 -0.4408 -1.2026e0 9.2642e-1 5.5394e-1
37.00 -0.4291 -1.1246e0 9.1752e-1 5.3586e-1
37.50 -0.4245 -1.0596e0 9.1766e-1 5.2879e-1
38.00 -0.4223 -9.9386e-1 8.6283e-1 5.2554e-1
38.50 -0.4010 -8.9486e-1 7.5317e-1 4.9335e-1
39.00 -0.3751 -7.9939e-1 6.5873e-1 4.5513e-1
39.50 -0.3411 -6.9818e-1 5.5915e-1 4.0643e-1
40.00 -0.3097 -6.0968e-1 4.8352e-1 3.6305e-1
40.50 -0.2841 -5.4331e-1 4.4890e-1 3.2858e-1
41.00 -0.2562 -4.7164e-1 3.8064e-1 2.9201e-1
41.50 -0.2264 -4.0689e-1 3.2443e-1 2.5403e-1
42.00 -0.1936 -3.4231e-1 2.7407e-1 2.1357e-1
42.50 -0.1664 -2.8972e-1 2.2764e-1 1.8110e-1
43.00 -0.1429 -2.4626e-1 1.9689e-1 1.5367e-1
43.50 -0.1228 -2.0590e-1 1.5734e-1 1.3062e-1
44.00 -0.1059 -1.7453e-1 1.3190e-1 1.1170e-1
44.50 -0.0899 -1.4397e-1 1.0306e-1 9.4016e-2
45.00 -0.0764 -1.1778e-1 7.7597e-2 7.9404e-2
45.50 -0.0656 -9.7409e-2 6.0985e-2 6.7748e-2
46.00 -0.0560 -8.0248e-2 4.7110e-2 5.7610e-2
46.50 -0.0470 -6.5179e-2 3.6101e-2 4.8161e-2
47.00 -0.0386 -5.1133e-2 2.5130e-2 3.9393e-2
47.50 -0.0313 -3.9527e-2 1.6375e-2 3.1835e-2
48.00 -0.0251 -3.0270e-2 1.0275e-2 2.5392e-2
48.50 -0.0195 -2.2927e-2 6.5505e-3 1.9713e-2
49.00 -0.0151 -1.7049e-2 3.8576e-3 1.5178e-2
49.50 -0.0115 -1.2776e-2 2.2602e-3 1.1570e-2
50.00 -0.0086 -9.4560e-3 1.3034e-3 8.6398e-3
50.50 -0.0064 -6.9598e-3 7.5678e-4 6.4233e-3
51.00 -0.0049 -5.1912e-3 4.4705e-4 4.8946e-3
51.50 -0.0037 -3.8759e-3 2.8373e-4 3.6717e-3
52.00 -0.0028 -2.8888e-3 1.5595e-4 2.7636e-3
52.50 -0.0021 -2.1285e-3 8.9970e-5 2.0869e-3
53.00 -0.0016 -1.5775e-3 5.2192e-5 1.5531e-3
53.50 -0.0011 -1.1569e-3 2.9809e-5 1.1429e-3
54.00 -0.0008 -8.4485e-4 1.7014e-5 8.3680e-4
54.50 -0.0006 -6.1380e-4 9.6812e-6 6.0919e-4
55.00 -0.0004 -4.4334e-4 5.4746e-6 4.4072e-4
55.50 -0.0003 -3.1798e-4 3.0654e-6 3.1651e-4
56.00 -0.0002 -2.2587e-4 1.6930e-6 2.2505e-4
56.50 -0.0002 -1.5881e-4 9.2219e-7 1.5837e-4
57.00 -0.0001 -1.1045e-4 4.9545e-7 1.1021e-4
57.50 -0.0001 -7.5692e-5 2.6155e-7 7.5564e-5
58.00 -0.0001 -5.0957e-5 1.3512e-7 5.0891e-5
58.50 -0.0000 -3.3687e-5 6.8146e-8 3.3654e-5
59.00 -0.0000 -2.1851e-5 3.3536e-8 2.1834e-5
59.50 -0.0000 -1.3775e-5 1.5971e-8 1.3767e-5
