# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 593.3717 5.8329e2 -1.1139e-11 -1.0000e0
23.50 230.0514 2.1997e2 1.8833e-5 -1.0000e0
24.00 63.6263 5.3548e1 5.8388e-7 -1.0000e0
24.50 20.2523 1.0198e1 1.2925e-1 -1.0000e0
25.00 7.2710 -1.7927e0 6.3980e-1 -9.9930e-1
25.50 3.6716 -4.7235e0 5.6064e-1 -9.7456e-1
26.00 2.6330 -5.2017e0 1.2161e0 -9.2814e-1
26.50 2.2097 -4.7424e0 1.7688e0 -8.9027e-1
27.00 1.8637 -3.9259e0 1.0660e0 -8.4491e-1
27.50 1.1968 -3.9960e0 1.2374e0 -6.9784e-1
28.00 0.8924 -3.7280e0 1.0984e0 -5.9031e-1
28.50 0.6617 -3.4784e0 1.2482e0 -4.8403e-1
29.00 0.4449 -3.2133e0 1.1256e0 -3.5911e-1
29.50 0.2212 -3.0844e0 1.2996e0 -1.9848e-1
30.00 0.0957 -2.8044e0 1.1880e0 -9.1219e-2
30.50 -0.0674 -2.6453e0 1.2021e0 6.9691e-2
31.00 -0.2271 -2.5931e0 1.4923e0 2.5496e-1
31.50 -0.3669 -2.5206e0 1.6273e0 4.4329e-1
32.00 -0.4303 -2.3878e0 1.7734e0 5.3773e-1
32.50 -0.4290 -2.0920e0 1.2026e0 5.3571e-1
33.00 -0.4517 -1.9420e0 1.1340e0 5.7102e-1
33.50 -0.4786 -1.8458e0 1.1950e0 6.1386e-1
34.00 -0.5004 -1.7803e0 1.3820e0 6.4934e-1
34.50 -0.4863 -1.6117e0 1.1938e0 6.2626e-1
35.00 -0.4794 -1.5220e0 1.1883e0 6.1507e-1
35.50 -0.4540 -1.4048e0 1.1326e0 5.7457e-1
36.00 -0.4292 -1.2659e0 9.7971e-1 5.3605e-1
36.50 -0.4161 -1.1586e0 8.7502e-1 5.1611e-1
37.00 -0.4059 -1.0831e0 8.6853e-1 5.0059e-1
37.50 -0.4030 -1.0214e0 8.7376e-1 4.9630e-1
38.00 -0.4020 -9.5811e-1 8.2328e-1 4.9482e-1
38.50 -0.3818 -8.6086e-1 7.1422e-1 4.6497e-1
39.00 -0.3571 -7.6726e-1 6.1970e-1 4.2923e-1
39.50 -0.3249 -6.6945e-1 5.2412e-1 3.8389e-1
40.00 -0.2953 -5.8403e-1 4.5108e-1 3.4353e-1
40.50 -0.2710 -5.1944e-1 4.1642e-1 3.1126e-1
41.00 -0.2446 -4.5075e-1 3.5253e-1 2.7713e-1
41.50 -0.2162 -3.8862e-1 2.9947e-1 2.4131e-1
42.00 -0.1848 -3.2665e-1 2.5188e-1 2.0303e-1
42.50 -0.1590 -2.7646e-1 2.0931e-1 1.7230e-1
43.00 -0.1365 -2.3478e-1 1.8079e-1 1.4626e-1
43.50 -0.1173 -1.9633e-1 1.4458e-1 1.2445e-1
44.00 -0.1012 -1.6630e-1 1.2107e-1 1.0646e-1
44.50 -0.0859 -1.3719e-1 9.4555e-2 8.9676e-2
45.00 -0.0731 -1.1236e-1 7.1405e-2 7.5860e-2
45.50 -0.0628 -9.2994e-2 5.6183e-2 6.4831e-2
46.00 -0.0538 -7.6700e-2 4.3492e-2 5.5222e-2
46.50 -0.0452 -6.2351e-2 3.3346e-2 4.6232e-2
47.00 -0.0372 -4.8992e-2 2.3277e-2 3.7880e-2
47.50 -0.0302 -3.7925e-2 1.5203e-2 3.0656e-2
48.00 -0.0242 -2.9095e-2 9.5417e-3 2.4487e-2
48.50 -0.0188 -2.2069e-2 6.0997e-3 1.9028e-2
49.00 -0.0146 -1.6437e-2 3.5953e-3 1.4668e-2
49.50 -0.0111 -1.2331e-2 2.1084e-3 1.1186e-2
50.00 -0.0083 -9.1351e-3 1.2186e-3 8.3543e-3
50.50 -0.0062 -6.7281e-3 7.0934e-4 6.2124e-3
51.00 -0.0047 -5.0207e-3 4.1871e-4 4.7366e-3
51.50 -0.0035 -3.7492e-3 2.6752e-4 3.5531e-3
52.00 -0.0027 -2.7955e-3 1.4612e-4 2.6747e-3
52.50 -0.0020 -2.0602e-3 8.4348e-5 2.0211e-3
53.00 -0.0015 -1.5270e-3 4.8945e-5 1.5041e-3
53.50 -0.0011 -1.1200e-3 2.7962e-5 1.1069e-3
54.00 -0.0008 -8.1793e-4 1.5961e-5 8.1037e-4
54.50 -0.0006 -5.9425e-4 9.0826e-6 5.8992e-4
55.00 -0.0004 -4.2922e-4 5.1359e-6 4.2676e-4
55.50 -0.0003 -3.0784e-4 2.8754e-6 3.0646e-4
56.00 -0.0002 -2.1866e-4 1.5878e-6 2.1790e-4
56.50 -0.0002 -1.5376e-4 8.6457e-7 1.5334e-4
57.00 -0.0001 -1.0694e-4 4.6432e-7 1.0671e-4
57.50 -0.0001 -7.3294e-5 2.4503e-7 7.3174e-5
58.00 -0.0000 -4.9349e-5 1.2653e-7 4.9287e-5
58.50 -0.0000 -3.2627e-5 6.3779e-8 3.2596e-5
59.00 -0.0000 -2.1164e-5 3.1365e-8 2.1149e-5
59.50 -0.0000 -1.3342e-5 1.4925e-8 1.3334e-5
