ph,net_charge
6.36,1.3475477e-05
6.34,1.3525525999999999e-05
6.33,1.3575551e-05
6.32,1.3625577e-05
6.31,1.3675603e-05
6.3,1.372563e-05
6.29,1.3775657e-05
6.28,1.3825685e-05
6.26,1.3875743e-05
6.25,1.3925773e-05
6.24,1.3975802999999999e-05
6.22,1.4025866e-05
6.21,1.4075898999999999e-05
6.2,1.4125931999999999e-05
6.18,1.4176000999999999e-05
6.17,1.4226035999999999e-05
6.15,1.427611e-05
6.14,1.4326147e-05
6.12,1.4376225999999999e-05
6.11,1.4426266e-05
6.09,1.4476349999999999e-05
6.07,1.4526438e-05
6.06,1.4576483e-05
6.04,1.4626577e-05
6.02,1.4676675e-05
6.0,1.4726777999999999e-05
5.99,1.4776831e-05
5.97,1.4826940999999999e-05
5.95,1.4877056e-05
5.93,1.4927176e-05
5.9,1.4977367e-05
5.88,1.5027502e-05
5.86,1.5077643e-05
5.84,1.512779e-05
5.81,1.5178025e-05
5.78,1.5228275999999999e-05
5.76,1.5278452999999998e-05
5.73,1.5328734e-05
5.7,1.5379036e-05
5.67,1.5429359e-05
5.66,1.5429471e-05
5.66,1.5429471e-05
5.63,1.5479825000000002e-05
5.59,1.5530336e-05
5.54,1.5581045000000002e-05
5.49,1.5631839999999998e-05
5.44,1.5682732e-05
5.38,1.5733948e-05
5.31,1.5785594e-05
5.23,1.5837830999999997e-05
5.13,1.5891273e-05
5.02,1.5946098e-05
4.88,1.6004298e-05
4.72,1.6067555e-05
4.54,1.6139646e-05
4.38,1.6218649e-05
4.24,1.6304451e-05
4.13,1.6391904e-05
4.03,1.6485246000000002e-05
3.95,1.6577875e-05
3.88,1.6672195e-05
3.82,1.6766307999999998e-05
3.76,1.6866959e-05
3.71,1.696486e-05
3.67,1.7057362e-05
3.63,1.7153966e-05
3.59,1.725507e-05
3.56,1.7346615999999998e-05
3.53,1.7441135e-05
3.5,1.7538841e-05
3.47,1.7639961e-05
3.45,1.7726069e-05
3.42,1.7833432e-05
3.4,1.792395e-05
3.37,1.8038317e-05
3.35,1.8133783e-05
3.33,1.8231393e-05
3.31,1.8331250000000002e-05
3.3,1.8407078999999998e-05
3.28,1.8510506e-05
3.26,1.8616453e-05
3.24,1.8725039999999997e-05
3.23,1.8805391e-05
3.21,1.8918174e-05
3.2,1.9000699e-05
3.18,1.9117977e-05
3.17,1.9202831e-05
3.15,1.9324928e-05
3.14,1.9412278e-05
3.13,1.95005e-05
3.11,1.9629562999999998e-05
3.1,1.9720522e-05
3.09,1.9812436999999998e-05
3.08,1.990533e-05
3.07,1.9999224e-05
3.06,2.0094143e-05
3.05,2.019011e-05
3.04,2.028715e-05
3.03,2.0385287e-05
3.02,2.0484547999999998e-05
3.01,2.0584958999999998e-05
3.0,2.0686546e-05
2.99,2.0789337e-05
2.98,2.089336e-05
2.97,2.0998644e-05
2.96,2.1105218e-05
2.96,2.1155328e-05
2.95,2.1263225e-05
2.94,2.1372473e-05
2.93,2.1483104e-05
2.92,2.159515e-05
2.91,2.1708644e-05
2.9,2.182362e-05
2.9,2.1873746e-05
2.89,2.1990241e-05
2.88,2.2108288e-05
2.87,2.2227923e-05
2.87,2.2278058e-05
2.86,2.2399322e-05
2.85,2.2522248e-05
2.85,2.257239e-05
