# R/Å F/kT U/kT
46.40 -0.26 -0.71
46.50 -0.26 -0.70
46.60 -0.25 -0.69
46.70 -0.25 -0.68
46.80 -0.25 -0.67
46.90 -0.24 -0.66
47.00 -0.24 -0.65
47.10 -0.23 -0.64
47.20 -0.23 -0.63
47.30 -0.22 -0.61
47.40 -0.22 -0.59
47.50 -0.21 -0.58
47.60 -0.21 -0.56
47.70 -0.20 -0.55
47.80 -0.20 -0.53
47.90 -0.20 -0.52
48.00 -0.19 -0.51
48.10 -0.19 -0.50
48.20 -0.18 -0.48
48.30 -0.18 -0.47
48.40 -0.18 -0.46
48.50 -0.17 -0.45
48.60 -0.17 -0.44
48.70 -0.17 -0.43
48.80 -0.16 -0.42
48.90 -0.16 -0.42
49.00 -0.16 -0.41
49.10 -0.16 -0.41
49.20 -0.15 -0.41
49.30 -0.15 -0.40
49.40 -0.15 -0.39
49.50 -0.14 -0.38
49.60 -0.14 -0.37
49.70 -0.14 -0.36
49.80 -0.13 -0.35
49.90 -0.13 -0.34
50.00 -0.12 -0.33
50.10 -0.12 -0.32
50.20 -0.12 -0.31
50.30 -0.11 -0.30
50.40 -0.11 -0.29
50.50 -0.11 -0.28
50.60 -0.10 -0.27
50.70 -0.10 -0.26
50.80 -0.10 -0.25
50.90 -0.09 -0.25
51.00 -0.09 -0.24
51.10 -0.09 -0.24
51.20 -0.09 -0.24
51.30 -0.09 -0.23
51.40 -0.08 -0.23
51.50 -0.08 -0.22
51.60 -0.08 -0.22
51.70 -0.08 -0.21
51.80 -0.07 -0.20
51.90 -0.07 -0.19
52.00 -0.07 -0.19
52.10 -0.07 -0.18
52.20 -0.07 -0.18
52.30 -0.06 -0.17
52.40 -0.06 -0.16
52.50 -0.06 -0.16
52.60 -0.06 -0.15
52.70 -0.06 -0.15
52.80 -0.05 -0.14
52.90 -0.05 -0.14
53.00 -0.05 -0.13
53.10 -0.05 -0.12
53.20 -0.05 -0.12
53.30 -0.04 -0.12
53.40 -0.04 -0.11
53.50 -0.04 -0.11
53.60 -0.04 -0.11
53.70 -0.04 -0.10
53.80 -0.04 -0.10
53.90 -0.03 -0.10
54.00 -0.03 -0.09
54.10 -0.03 -0.09
54.20 -0.03 -0.09
54.30 -0.03 -0.08
54.40 -0.03 -0.08
54.50 -0.02 -0.07
54.60 -0.02 -0.07
54.70 -0.02 -0.06
54.80 -0.02 -0.06
54.90 -0.02 -0.05
55.00 -0.02 -0.05
55.10 -0.01 -0.05
55.20 -0.01 -0.04
55.30 -0.01 -0.04
55.40 -0.01 -0.04
55.50 -0.01 -0.03
55.60 -0.01 -0.03
55.70 -0.01 -0.03
55.80 -0.01 -0.02
55.90 -0.00 -0.02
56.00 -0.00 -0.02
56.10 -0.00 -0.02
56.20 -0.00 -0.02
56.30 -0.00 -0.01
56.40 -0.00 -0.01
56.50 0.00 -0.01
56.60 0.00 -0.01
56.70 0.00 -0.01
56.80 0.00 -0.01
56.90 0.00 -0.00
57.00 0.00 -0.00
57.10 0.00 -0.00
57.20 0.01 -0.00
57.30 0.01 0.00
57.40 0.01 0.00
57.50 0.01 0.00
57.60 0.01 0.00
57.70 0.01 0.00
57.80 0.01 0.00
57.90 0.01 0.01
58.00 0.01 0.01
58.10 0.01 0.01
58.20 0.01 0.01
58.30 0.01 0.01
58.40 0.01 0.01
58.50 0.01 0.01
58.60 0.01 0.01
58.70 0.01 0.01
58.80 0.01 0.01
58.90 0.01 0.01
59.00 0.01 0.01
59.10 0.01 0.01
59.20 0.01 0.01
59.30 0.01 0.01
59.40 0.01 0.01
59.50 0.01 0.01
59.60 0.01 0.01
59.70 0.01 0.01
59.80 0.01 0.01
59.90 0.01 0.01
60.00 0.01 0.01
60.10 0.01 0.01
60.20 0.01 0.01
60.30 0.01 0.01
60.40 0.01 0.01
