# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 659.3174 6.4924e2 1.0522e-11 -1.0000e0
23.50 255.2958 2.4522e2 4.5819e-6 -1.0000e0
24.00 69.9507 5.9872e1 6.0133e-8 -1.0000e0
24.50 21.6616 1.1597e1 8.0522e-2 -1.0000e0
25.00 7.2551 -1.8927e0 5.7814e-1 -9.9929e-1
25.50 3.3267 -5.1377e0 5.3852e-1 -9.6409e-1
26.00 2.2948 -5.6027e0 1.1569e0 -8.9922e-1
26.50 1.8807 -5.1841e0 1.8336e0 -8.4752e-1
27.00 1.5760 -4.3167e0 1.1873e0 -7.9320e-1
27.50 0.9034 -4.3885e0 1.3325e0 -5.9481e-1
28.00 0.6165 -4.0912e0 1.1763e0 -4.6015e-1
28.50 0.3993 -3.8495e0 1.4070e0 -3.2922e-1
29.00 0.2080 -3.5441e0 1.2629e0 -1.8779e-1
29.50 -0.0016 -3.4012e0 1.4549e0 1.5627e-3
30.00 -0.1111 -3.1015e0 1.3494e0 1.1755e-1
30.50 -0.2620 -2.9275e0 1.3540e0 2.9957e-1
31.00 -0.4199 -2.8946e0 1.7301e0 5.2187e-1
31.50 -0.5540 -2.8212e0 1.9016e0 7.4013e-1
32.00 -0.6124 -2.7011e0 2.1861e0 8.4489e-1
32.50 -0.5908 -2.3458e0 1.4230e0 8.0540e-1
33.00 -0.6048 -2.1840e0 1.3440e0 8.3090e-1
33.50 -0.6270 -2.0901e0 1.4341e0 8.7206e-1
34.00 -0.6475 -2.0428e0 1.7155e0 9.1071e-1
34.50 -0.6227 -1.8527e0 1.5009e0 8.6396e-1
35.00 -0.6113 -1.7605e0 1.5011e0 8.4278e-1
35.50 -0.5793 -1.6368e0 1.4423e0 7.8487e-1
36.00 -0.5443 -1.4759e0 1.2447e0 7.2346e-1
36.50 -0.5227 -1.3501e0 1.1071e0 6.8658e-1
37.00 -0.5059 -1.2660e0 1.1050e0 6.5846e-1
37.50 -0.4967 -1.1955e0 1.1054e0 6.4323e-1
38.00 -0.4901 -1.1212e0 1.0346e0 6.3256e-1
38.50 -0.4626 -1.0092e0 9.0261e-1 5.8813e-1
39.00 -0.4305 -9.0186e-1 7.9400e-1 5.3809e-1
39.50 -0.3897 -7.8713e-1 6.7563e-1 4.7657e-1
40.00 -0.3524 -6.8754e-1 5.8860e-1 4.2247e-1
40.50 -0.3224 -6.1459e-1 5.5228e-1 3.8037e-1
41.00 -0.2895 -5.3305e-1 4.6804e-1 3.3574e-1
41.50 -0.2552 -4.5984e-1 4.0072e-1 2.9071e-1
42.00 -0.2179 -3.8720e-1 3.4156e-1 2.4347e-1
42.50 -0.1871 -3.2743e-1 2.8340e-1 2.0573e-1
43.00 -0.1606 -2.7868e-1 2.4609e-1 1.7416e-1
43.50 -0.1375 -2.3250e-1 1.9556e-1 1.4743e-1
44.00 -0.1184 -1.9704e-1 1.6387e-1 1.2575e-1
44.50 -0.1002 -1.6217e-1 1.2750e-1 1.0544e-1
45.00 -0.0849 -1.3214e-1 9.5257e-2 8.8615e-2
45.50 -0.0726 -1.0904e-1 7.4641e-2 7.5279e-2
46.00 -0.0618 -8.9574e-2 5.7417e-2 6.3745e-2
46.50 -0.0517 -7.2586e-2 4.3937e-2 5.3095e-2
47.00 -0.0423 -5.6694e-2 3.0375e-2 4.3226e-2
47.50 -0.0342 -4.3599e-2 1.9611e-2 3.4777e-2
48.00 -0.0273 -3.3218e-2 1.2248e-2 2.7627e-2
48.50 -0.0212 -2.5064e-2 7.7576e-3 2.1396e-2
49.00 -0.0163 -1.8561e-2 4.5538e-3 1.6422e-2
49.50 -0.0124 -1.3862e-2 2.6571e-3 1.2498e-2
50.00 -0.0093 -1.0232e-2 1.5229e-3 9.3251e-3
50.50 -0.0069 -7.5161e-3 8.7884e-4 6.9267e-3
51.00 -0.0053 -5.5977e-3 5.1895e-4 5.2697e-3
51.50 -0.0039 -4.1759e-3 3.2460e-4 3.9517e-3
52.00 -0.0030 -3.1085e-3 1.8054e-4 2.9722e-3
52.50 -0.0022 -2.2886e-3 1.0396e-4 2.2406e-3
53.00 -0.0017 -1.6951e-3 6.0235e-5 1.6671e-3
53.50 -0.0012 -1.2427e-3 3.4368e-5 1.2265e-3
54.00 -0.0009 -9.0714e-4 1.9602e-5 8.9787e-4
54.50 -0.0007 -6.5889e-4 1.1149e-5 6.5358e-4
55.00 -0.0005 -4.7582e-4 6.3023e-6 4.7280e-4
55.50 -0.0003 -3.4123e-4 3.5282e-6 3.3953e-4
56.00 -0.0002 -2.4235e-4 1.9484e-6 2.4141e-4
56.50 -0.0002 -1.7038e-4 1.0613e-6 1.6987e-4
57.00 -0.0001 -1.1848e-4 5.7022e-7 1.1821e-4
57.50 -0.0001 -8.1188e-5 3.0105e-7 8.1042e-5
58.00 -0.0001 -5.4652e-5 1.5555e-7 5.4575e-5
58.50 -0.0000 -3.6127e-5 7.8466e-8 3.6088e-5
59.00 -0.0000 -2.3432e-5 3.8626e-8 2.3413e-5
59.50 -0.0000 -1.4772e-5 1.8403e-8 1.4763e-5
