# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 614.2720 6.0419e2 -1.0487e-11 -1.0000e0
23.50 237.9334 2.2785e2 1.1193e-5 -1.0000e0
24.00 65.5450 5.5466e1 3.0111e-7 -1.0000e0
24.50 20.6176 1.0559e1 1.1035e-1 -1.0000e0
25.00 7.2064 -1.8796e0 6.2263e-1 -9.9926e-1
25.50 3.5020 -4.9127e0 5.5000e-1 -9.6986e-1
26.00 2.4459 -5.4322e0 1.2476e0 -9.1335e-1
26.50 2.0387 -4.9774e0 1.8610e0 -8.6980e-1
27.00 1.7224 -4.1057e0 1.1177e0 -8.2136e-1
27.50 1.0528 -4.1847e0 1.3092e0 -6.5105e-1
28.00 0.7581 -3.9019e0 1.1502e0 -5.3143e-1
28.50 0.5363 -3.6491e0 1.3244e0 -4.1507e-1
29.00 0.3290 -3.3699e0 1.1926e0 -2.8038e-1
29.50 0.1099 -3.2431e0 1.3924e0 -1.0407e-1
30.00 -0.0056 -2.9489e0 1.2749e0 5.6120e-3
30.50 -0.1629 -2.7847e0 1.2917e0 1.7695e-1
31.00 -0.3210 -2.7419e0 1.6308e0 3.7848e-1
31.50 -0.4583 -2.6721e0 1.7930e0 5.8137e-1
32.00 -0.5170 -2.5409e0 2.0030e0 6.7703e-1
32.50 -0.5047 -2.2121e0 1.3183e0 6.5654e-1
33.00 -0.5220 -2.0541e0 1.2402e0 6.8546e-1
33.50 -0.5455 -1.9568e0 1.3121e0 7.2554e-1
34.00 -0.5651 -1.8963e0 1.5382e0 7.5955e-1
34.50 -0.5448 -1.7145e0 1.3270e0 7.2428e-1
35.00 -0.5347 -1.6214e0 1.3204e0 7.0691e-1
35.50 -0.5051 -1.4978e0 1.2558e0 6.5708e-1
36.00 -0.4752 -1.3481e0 1.0813e0 6.0835e-1
36.50 -0.4582 -1.2330e0 9.6419e-1 5.8127e-1
37.00 -0.4452 -1.1547e0 9.6266e-1 5.6085e-1
37.50 -0.4402 -1.0910e0 9.7108e-1 5.5296e-1
38.00 -0.4369 -1.0235e0 9.1322e-1 5.4786e-1
38.50 -0.4131 -9.1862e-1 7.8980e-1 5.1156e-1
39.00 -0.3850 -8.1811e-1 6.8558e-1 4.6966e-1
39.50 -0.3492 -7.1319e-1 5.7989e-1 4.1797e-1
40.00 -0.3165 -6.2198e-1 5.0036e-1 3.7235e-1
40.50 -0.2899 -5.5380e-1 4.6393e-1 3.3626e-1
41.00 -0.2610 -4.8023e-1 3.9251e-1 2.9822e-1
41.50 -0.2303 -4.1387e-1 3.3391e-1 2.5896e-1
42.00 -0.1967 -3.4790e-1 2.8192e-1 2.1739e-1
42.50 -0.1690 -2.9430e-1 2.3421e-1 1.8413e-1
43.00 -0.1450 -2.5006e-1 2.0269e-1 1.5608e-1
43.50 -0.1244 -2.0884e-1 1.6160e-1 1.3249e-1
44.00 -0.1072 -1.7684e-1 1.3525e-1 1.1316e-1
44.50 -0.0909 -1.4568e-1 1.0533e-1 9.5113e-2
45.00 -0.0772 -1.1908e-1 7.9251e-2 8.0250e-2
45.50 -0.0662 -9.8446e-2 6.2260e-2 6.8424e-2
46.00 -0.0565 -8.1087e-2 4.8108e-2 5.8156e-2
46.50 -0.0475 -6.5841e-2 3.6850e-2 4.8595e-2
47.00 -0.0390 -5.1623e-2 2.5643e-2 3.9719e-2
47.50 -0.0316 -3.9854e-2 1.6664e-2 3.2068e-2
48.00 -0.0252 -3.0495e-2 1.0430e-2 2.5562e-2
48.50 -0.0196 -2.3087e-2 6.6458e-3 1.9839e-2
49.00 -0.0152 -1.7160e-2 3.9115e-3 1.5269e-2
49.50 -0.0116 -1.2851e-2 2.2890e-3 1.1634e-2
50.00 -0.0086 -9.5078e-3 1.3187e-3 8.6852e-3
50.50 -0.0064 -6.9955e-3 7.6504e-4 6.4555e-3
51.00 -0.0049 -5.2162e-3 4.5166e-4 4.9176e-3
51.50 -0.0037 -3.8934e-3 2.8627e-4 3.6881e-3
52.00 -0.0028 -2.9011e-3 1.5737e-4 2.7752e-3
52.50 -0.0021 -2.1371e-3 9.0758e-5 2.0951e-3
53.00 -0.0016 -1.5835e-3 5.2630e-5 1.5590e-3
53.50 -0.0011 -1.1612e-3 3.0051e-5 1.1471e-3
54.00 -0.0008 -8.4783e-4 1.7147e-5 8.3972e-4
54.50 -0.0006 -6.1588e-4 9.7546e-6 6.1123e-4
55.00 -0.0004 -4.4479e-4 5.5147e-6 4.4215e-4
55.50 -0.0003 -3.1898e-4 3.0870e-6 3.1750e-4
56.00 -0.0002 -2.2656e-4 1.7044e-6 2.2573e-4
56.50 -0.0002 -1.5930e-4 9.2796e-7 1.5885e-4
57.00 -0.0001 -1.1079e-4 4.9833e-7 1.1055e-4
57.50 -0.0001 -7.5929e-5 2.6296e-7 7.5801e-5
58.00 -0.0001 -5.1121e-5 1.3579e-7 5.1055e-5
58.50 -0.0000 -3.3798e-5 6.8440e-8 3.3765e-5
59.00 -0.0000 -2.1924e-5 3.3656e-8 2.1907e-5
59.50 -0.0000 -1.3820e-5 1.6015e-8 1.3812e-5
