# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 636.1293 6.2605e2 2.8065e-11 -1.0000e0
23.50 246.4174 2.3634e2 7.5379e-6 -1.0000e0
24.00 67.7256 5.7647e1 1.3423e-7 -1.0000e0
24.50 21.1649 1.1103e1 9.5077e-2 -1.0000e0
25.00 7.2611 -1.8592e0 6.0101e-1 -9.9930e-1
25.50 3.4482 -4.9927e0 5.4484e-1 -9.6820e-1
26.00 2.4138 -5.4626e0 1.1775e0 -9.1053e-1
26.50 1.9965 -5.0301e0 1.8136e0 -8.6419e-1
27.00 1.6779 -4.1783e0 1.1425e0 -8.1322e-1
27.50 1.0071 -4.2503e0 1.3004e0 -6.3472e-1
28.00 0.7139 -3.9632e0 1.1487e0 -5.1027e-1
28.50 0.4923 -3.7179e0 1.3501e0 -3.8878e-1
29.00 0.2919 -3.4266e0 1.2130e0 -2.5319e-1
29.50 0.0773 -3.2888e0 1.3990e0 -7.4389e-2
30.00 -0.0379 -2.9959e0 1.2905e0 3.8649e-2
30.50 -0.1931 -2.8272e0 1.2989e0 2.1296e-1
31.00 -0.3515 -2.7871e0 1.6443e0 4.2115e-1
31.50 -0.4875 -2.7137e0 1.8020e0 6.2827e-1
32.00 -0.5476 -2.5884e0 2.0342e0 7.2909e-1
32.50 -0.5333 -2.2551e0 1.3426e0 7.0458e-1
33.00 -0.5504 -2.0975e0 1.2676e0 7.3397e-1
33.50 -0.5742 -2.0025e0 1.3468e0 7.7572e-1
34.00 -0.5949 -1.9480e0 1.5928e0 8.1289e-1
34.50 -0.5739 -1.7654e0 1.3867e0 7.7524e-1
35.00 -0.5641 -1.6740e0 1.3851e0 7.5779e-1
35.50 -0.5344 -1.5525e0 1.3274e0 7.0638e-1
36.00 -0.5030 -1.3996e0 1.1465e0 6.5372e-1
36.50 -0.4845 -1.2806e0 1.0211e0 6.2334e-1
37.00 -0.4700 -1.1996e0 1.0171e0 5.9997e-1
37.50 -0.4630 -1.1323e0 1.0196e0 5.8890e-1
38.00 -0.4585 -1.0620e0 9.5669e-1 5.8173e-1
38.50 -0.4336 -9.5530e-1 8.3287e-1 5.4276e-1
39.00 -0.4042 -8.5287e-1 7.2908e-1 4.9806e-1
39.50 -0.3664 -7.4428e-1 6.1904e-1 4.4258e-1
40.00 -0.3319 -6.4979e-1 5.3689e-1 3.9359e-1
40.50 -0.3039 -5.7977e-1 5.0082e-1 3.5509e-1
41.00 -0.2733 -5.0294e-1 4.2434e-1 3.1435e-1
41.50 -0.2412 -4.3375e-1 3.6227e-1 2.7271e-1
42.00 -0.2060 -3.6497e-1 3.0729e-1 2.2876e-1
42.50 -0.1770 -3.0874e-1 2.5514e-1 1.9360e-1
43.00 -0.1519 -2.6257e-1 2.2113e-1 1.6404e-1
43.50 -0.1302 -2.1924e-1 1.7614e-1 1.3911e-1
44.00 -0.1122 -1.8578e-1 1.4758e-1 1.1877e-1
44.50 -0.0951 -1.5303e-1 1.1498e-1 9.9748e-2
45.00 -0.0807 -1.2493e-1 8.6235e-2 8.4023e-2
45.50 -0.0691 -1.0320e-1 6.7667e-2 7.1524e-2
46.00 -0.0589 -8.4899e-2 5.2170e-2 6.0688e-2
46.50 -0.0494 -6.8875e-2 3.9945e-2 5.0637e-2
47.00 -0.0405 -5.3911e-2 2.7712e-2 4.1316e-2
47.50 -0.0328 -4.1557e-2 1.7965e-2 3.3309e-2
48.00 -0.0262 -3.1739e-2 1.1241e-2 2.6511e-2
48.50 -0.0203 -2.3993e-2 7.1423e-3 2.0556e-2
49.00 -0.0157 -1.7804e-2 4.1992e-3 1.5801e-2
49.50 -0.0120 -1.3318e-2 2.4548e-3 1.2034e-2
50.00 -0.0089 -9.8434e-3 1.4110e-3 8.9825e-3
50.50 -0.0067 -7.2374e-3 8.1663e-4 6.6749e-3
51.00 -0.0051 -5.3939e-3 4.8231e-4 5.0818e-3
51.50 -0.0038 -4.0253e-3 3.0377e-4 3.8113e-3
52.00 -0.0029 -2.9981e-3 1.6798e-4 2.8675e-3
52.50 -0.0022 -2.2081e-3 9.6817e-5 2.1634e-3
53.00 -0.0016 -1.6359e-3 5.6126e-5 1.6098e-3
53.50 -0.0012 -1.1995e-3 3.2038e-5 1.1844e-3
54.00 -0.0009 -8.7576e-4 1.8279e-5 8.6711e-4
54.50 -0.0006 -6.3615e-4 1.0398e-5 6.3120e-4
55.00 -0.0005 -4.5943e-4 5.8785e-6 4.5662e-4
55.50 -0.0003 -3.2949e-4 3.2910e-6 3.2791e-4
56.00 -0.0002 -2.3402e-4 1.8174e-6 2.3314e-4
56.50 -0.0002 -1.6454e-4 9.8981e-7 1.6406e-4
57.00 -0.0001 -1.1443e-4 5.3174e-7 1.1417e-4
57.50 -0.0001 -7.8414e-5 2.8069e-7 7.8277e-5
58.00 -0.0001 -5.2788e-5 1.4500e-7 5.2717e-5
58.50 -0.0000 -3.4897e-5 7.3126e-8 3.4861e-5
59.00 -0.0000 -2.2635e-5 3.5986e-8 2.2617e-5
59.50 -0.0000 -1.4269e-5 1.7138e-8 1.4261e-5
