# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 671.4571 6.6138e2 -4.2925e-12 -1.0000e0
23.50 259.8966 2.4982e2 3.4245e-6 -1.0000e0
24.00 71.0815 6.1003e1 4.0338e-8 -1.0000e0
24.50 21.8892 1.1823e1 7.3521e-2 -1.0000e0
25.00 7.2275 -1.9316e0 5.6675e-1 -9.9927e-1
25.50 3.2385 -5.2363e0 5.3436e-1 -9.6078e-1
26.00 2.2004 -5.7160e0 1.1638e0 -8.8924e-1
26.50 1.7925 -5.3030e0 1.8713e0 -8.3346e-1
27.00 1.5018 -4.4124e0 1.2173e0 -7.7727e-1
27.50 0.8280 -4.4872e0 1.3648e0 -5.6307e-1
28.00 0.5461 -4.1821e0 1.2013e0 -4.2077e-1
28.50 0.3328 -3.9409e0 1.4480e0 -2.8311e-1
29.00 0.1470 -3.6274e0 1.2993e0 -1.3671e-1
29.50 -0.0599 -3.4845e0 1.5027e0 6.1721e-2
30.00 -0.1645 -3.1782e0 1.3965e0 1.7881e-1
30.50 -0.3124 -3.0012e0 1.4001e0 3.6671e-1
31.00 -0.4698 -2.9744e0 1.8031e0 5.9975e-1
31.50 -0.6026 -2.9025e0 1.9888e0 8.2685e-1
32.00 -0.6592 -2.7857e0 2.3180e0 9.3325e-1
32.50 -0.6315 -2.4112e0 1.4873e0 8.8040e-1
33.00 -0.6428 -2.2455e0 1.4032e0 9.0186e-1
33.50 -0.6636 -2.1518e0 1.5003e0 9.4168e-1
34.00 -0.6833 -2.1090e0 1.8072e0 9.8050e-1
34.50 -0.6554 -1.9121e0 1.5824e0 9.2588e-1
35.00 -0.6425 -1.8185e0 1.5820e0 9.0115e-1
35.50 -0.6085 -1.6919e0 1.5190e0 8.3767e-1
36.00 -0.5707 -1.5248e0 1.3084e0 7.6953e-1
36.50 -0.5469 -1.3943e0 1.1628e0 7.2786e-1
37.00 -0.5286 -1.3087e0 1.1639e0 6.9653e-1
37.50 -0.5181 -1.2367e0 1.1650e0 6.7878e-1
38.00 -0.5102 -1.1598e0 1.0888e0 6.6568e-1
38.50 -0.4807 -1.0436e0 9.4922e-1 6.1720e-1
39.00 -0.4468 -9.3256e-1 8.3601e-1 5.6333e-1
39.50 -0.4040 -8.1369e-1 7.1176e-1 4.9774e-1
40.00 -0.3649 -7.1078e-1 6.2138e-1 4.4031e-1
40.50 -0.3335 -6.3591e-1 5.8477e-1 3.9587e-1
41.00 -0.2992 -5.5137e-1 4.9534e-1 3.4876e-1
41.50 -0.2636 -4.7562e-1 4.2458e-1 3.0157e-1
42.00 -0.2250 -4.0060e-1 3.6284e-1 2.5229e-1
42.50 -0.1931 -3.3866e-1 3.0095e-1 2.1297e-1
43.00 -0.1657 -2.8834e-1 2.6166e-1 1.8017e-1
43.50 -0.1418 -2.4038e-1 2.0755e-1 1.5232e-1
44.00 -0.1221 -2.0370e-1 1.7387e-1 1.2983e-1
44.50 -0.1032 -1.6752e-1 1.3509e-1 1.0874e-1
45.00 -0.0873 -1.3634e-1 1.0071e-1 9.1263e-2
45.50 -0.0746 -1.1243e-1 7.8851e-2 7.7437e-2
46.00 -0.0634 -9.2287e-2 6.0585e-2 6.5499e-2
46.50 -0.0531 -7.4737e-2 4.6345e-2 5.4501e-2
47.00 -0.0434 -5.8300e-2 3.1977e-2 4.4314e-2
47.50 -0.0350 -4.4765e-2 2.0591e-2 3.5607e-2
48.00 -0.0279 -3.4056e-2 1.2840e-2 2.8256e-2
48.50 -0.0216 -2.5669e-2 8.1179e-3 2.1867e-2
49.00 -0.0166 -1.8987e-2 4.7605e-3 1.6769e-2
49.50 -0.0127 -1.4166e-2 2.7742e-3 1.2757e-2
50.00 -0.0095 -1.0449e-2 1.5874e-3 9.5152e-3
50.50 -0.0070 -7.6708e-3 9.1453e-4 7.0660e-3
51.00 -0.0054 -5.7104e-3 5.3986e-4 5.3733e-3
51.50 -0.0040 -4.2589e-3 3.3645e-4 4.0290e-3
52.00 -0.0030 -3.1691e-3 1.8765e-4 3.0297e-3
52.50 -0.0023 -2.3327e-3 1.0800e-4 2.2829e-3
53.00 -0.0017 -1.7275e-3 6.2554e-5 1.6984e-3
53.50 -0.0012 -1.2662e-3 3.5680e-5 1.2495e-3
54.00 -0.0009 -9.2426e-4 2.0346e-5 9.1464e-4
54.50 -0.0007 -6.7127e-4 1.1570e-5 6.6576e-4
55.00 -0.0005 -4.8473e-4 6.5398e-6 4.8160e-4
55.50 -0.0003 -3.4760e-4 3.6608e-6 3.4584e-4
56.00 -0.0002 -2.4687e-4 2.0216e-6 2.4589e-4
56.50 -0.0002 -1.7355e-4 1.1011e-6 1.7302e-4
57.00 -0.0001 -1.2069e-4 5.9160e-7 1.2040e-4
57.50 -0.0001 -8.2695e-5 3.1234e-7 8.2542e-5
58.00 -0.0001 -5.5664e-5 1.6138e-7 5.5585e-5
58.50 -0.0000 -3.6795e-5 8.1409e-8 3.6755e-5
59.00 -0.0000 -2.3865e-5 4.0076e-8 2.3845e-5
59.50 -0.0000 -1.5045e-5 1.9095e-8 1.5036e-5
