# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
20.00 inf NaN NaN -1.0000e0
20.50 inf NaN NaN -1.0000e0
21.00 inf NaN NaN -1.0000e0
21.50 inf NaN NaN -1.0000e0
22.00 inf NaN NaN -1.0000e0
22.50 inf NaN NaN -1.0000e0
23.00 inf NaN NaN -1.0000e0
23.50 623.2174 6.1316e2 0.0000e0 -1.0000e0
24.00 295.6709 2.8608e2 4.3680e-1 -1.0000e0
24.50 75.7201 6.5731e1 0.0000e0 -1.0000e0
25.00 17.2508 7.2616e0 1.9136e-14 -1.0000e0
25.50 2.1328 -7.8564e0 3.0878e-5 -8.8149e-1
26.00 -0.8284 -1.0807e1 6.2063e-2 1.2898e0
26.50 -0.5768 -9.9606e0 1.4180e0 7.8029e-1
27.00 -1.1887 -8.9255e0 1.0355e0 2.2828e0
27.50 -2.5625 -1.0565e1 2.8520e0 1.1968e1
28.00 -3.5901 -1.1855e1 3.6217e0 3.5236e1
28.50 -3.4473 -1.1154e1 4.3215e0 3.0417e1
29.00 -3.0012 -9.0245e0 2.9065e0 1.9110e1
29.50 -3.0853 -8.4242e0 2.5368e0 2.0875e1
30.00 -3.2886 -8.7020e0 3.9589e0 2.5806e1
30.50 -3.2021 -8.1697e0 3.2751e0 2.3585e1
31.00 -3.1359 -7.9656e0 3.7260e0 2.2009e1
31.50 -3.1816 -7.9200e0 4.4076e0 2.3085e1
32.00 -3.2920 -8.1402e0 4.9149e0 2.5897e1
32.50 -3.1069 -7.4530e0 4.1832e0 2.1351e1
33.00 -3.1751 -7.7818e0 5.8911e0 2.2928e1
33.50 -3.1080 -7.5591e0 6.4369e0 2.1377e1
34.00 -2.7888 -6.3135e0 3.9701e0 1.5262e1
34.50 -2.6883 -5.8698e0 3.3562e0 1.3707e1
35.00 -2.6664 -5.7963e0 3.9696e0 1.3388e1
35.50 -2.5249 -5.2407e0 2.7268e0 1.1490e1
36.00 -2.4758 -5.1809e0 3.4109e0 1.0891e1
36.50 -2.4882 -5.1852e0 3.7103e0 1.1039e1
37.00 -2.5278 -5.2558e0 4.0434e0 1.1526e1
37.50 -2.6702 -5.9413e0 6.7694e0 1.3443e1
38.00 -2.5404 -5.4840e0 5.8304e0 1.1685e1
38.50 -2.3546 -4.7715e0 3.8741e0 9.5339e0
39.00 -2.2790 -4.5605e0 3.7350e0 8.7666e0
39.50 -2.2550 -4.5495e0 4.0780e0 8.5353e0
40.00 -2.1895 -4.4061e0 4.1819e0 7.9304e0
40.50 -2.0899 -4.1477e0 4.0309e0 7.0844e0
41.00 -1.9899 -3.8667e0 3.5259e0 6.3149e0
41.50 -1.8681 -3.5706e0 3.1972e0 5.4762e0
42.00 -1.7802 -3.3923e0 3.2312e0 4.9308e0
42.50 -1.7108 -3.2861e0 3.4100e0 4.5333e0
43.00 -1.6093 -3.0448e0 3.0091e0 3.9992e0
43.50 -1.5112 -2.8515e0 2.8483e0 3.5323e0
44.00 -1.4386 -2.8068e0 3.4118e0 3.2148e0
44.50 -1.3512 -2.5837e0 2.9788e0 2.8620e0
45.00 -1.3009 -2.4906e0 2.9186e0 2.6727e0
45.50 -1.2526 -2.4676e0 3.3327e0 2.4994e0
46.00 -1.1959 -2.4660e0 4.0737e0 2.3067e0
46.50 -1.1127 -2.3134e0 3.9346e0 2.0425e0
47.00 -1.0046 -2.0441e0 3.3932e0 1.7309e0
47.50 -0.9148 -1.8249e0 2.9234e0 1.4962e0
48.00 -0.8206 -1.5773e0 2.3602e0 1.2718e0
48.50 -0.7566 -1.4187e0 2.0125e0 1.1310e0
49.00 -0.7174 -1.3935e0 2.2131e0 1.0491e0
49.50 -0.6507 -1.2651e0 2.0709e0 9.1695e-1
50.00 -0.5695 -1.0752e0 1.6968e0 7.6746e-1
50.50 -0.4945 -8.9533e-1 1.3256e0 6.3971e-1
51.00 -0.4425 -7.9616e-1 1.2013e0 5.5657e-1
51.50 -0.3994 -7.1544e-1 1.0925e0 4.9099e-1
52.00 -0.3655 -6.6344e-1 1.1022e0 4.4120e-1
52.50 -0.3322 -5.9556e-1 9.7350e-1 3.9403e-1
53.00 -0.2876 -4.8771e-1 7.0547e-1 3.3326e-1
53.50 -0.2400 -3.7275e-1 4.3533e-1 2.7123e-1
54.00 -0.2016 -2.8979e-1 2.7147e-1 2.2332e-1
54.50 -0.1704 -2.3055e-1 1.7606e-1 1.8577e-1
55.00 -0.1439 -1.8335e-1 1.0978e-1 1.5482e-1
55.50 -0.1233 -1.4920e-1 6.8588e-2 1.3127e-1
56.00 -0.1071 -1.2498e-1 4.6315e-2 1.1299e-1
56.50 -0.0933 -1.0587e-1 3.1678e-2 9.7801e-2
57.00 -0.0815 -9.0114e-2 2.1242e-2 8.4875e-2
57.50 -0.0713 -7.7230e-2 1.4070e-2 7.3892e-2
58.00 -0.0626 -6.6669e-2 9.3846e-3 6.4564e-2
58.50 -0.0551 -5.8023e-2 6.3831e-3 5.6698e-2
59.00 -0.0488 -5.0896e-2 4.4797e-3 5.0045e-2
59.50 -0.0434 -4.4919e-2 3.2366e-3 4.4358e-2
