# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
69.00 -0.0121 -1.2106e-2 6.2536e-5 1.2148e-2
69.50 -0.0113 -1.1281e-2 5.3479e-5 1.1318e-2
70.00 -0.0105 -1.0516e-2 4.5850e-5 1.0549e-2
70.50 -0.0098 -9.8060e-3 3.9402e-5 9.8344e-3
71.00 -0.0091 -9.1459e-3 3.3936e-5 9.1707e-3
71.50 -0.0085 -8.5318e-3 2.9289e-5 8.5536e-3
72.00 -0.0079 -7.9601e-3 2.5328e-5 7.9791e-3
72.50 -0.0074 -7.4274e-3 2.1943e-5 7.4440e-3
73.00 -0.0069 -6.9306e-3 1.9043e-5 6.9451e-3
73.50 -0.0065 -6.4671e-3 1.6553e-5 6.4797e-3
74.00 -0.0060 -6.0342e-3 1.4410e-5 6.0452e-3
74.50 -0.0056 -5.6299e-3 1.2563e-5 5.6395e-3
75.00 -0.0052 -5.2519e-3 1.0967e-5 5.2602e-3
75.50 -0.0049 -4.8985e-3 9.5866e-6 4.9057e-3
76.00 -0.0046 -4.5678e-3 8.3896e-6 4.5741e-3
76.50 -0.0043 -4.2584e-3 7.3503e-6 4.2638e-3
77.00 -0.0040 -3.9688e-3 6.4465e-6 3.9734e-3
77.50 -0.0037 -3.6976e-3 5.6593e-6 3.7016e-3
78.00 -0.0034 -3.4436e-3 4.9728e-6 3.4471e-3
78.50 -0.0032 -3.2058e-3 4.3732e-6 3.2087e-3
79.00 -0.0030 -2.9830e-3 3.8489e-6 2.9855e-3
79.50 -0.0028 -2.7743e-3 3.3899e-6 2.7765e-3
