# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
20.00 inf NaN NaN -1.0000e0
20.50 inf NaN NaN -1.0000e0
21.00 inf NaN NaN -1.0000e0
21.50 inf NaN NaN -1.0000e0
22.00 inf NaN NaN -1.0000e0
22.50 inf NaN NaN -1.0000e0
23.00 inf NaN NaN -1.0000e0
23.50 638.0556 6.2807e2 0.0000e0 -1.0000e0
24.00 140.5686 1.3058e2 0.0000e0 -1.0000e0
24.50 24.2825 1.4293e1 0.0000e0 -1.0000e0
25.00 -3.3548 -1.3344e1 0.0000e0 2.7641e1
25.50 -8.8186 -1.8808e1 6.7176e-6 6.7579e3
26.00 -8.4588 -1.8442e1 4.1222e-2 4.7154e3
26.50 -7.9471 -1.6880e1 1.3165e0 2.8262e3
27.00 -11.0224 -2.0486e1 1.7253e0 6.1231e4
27.50 -12.7440 -2.1995e1 1.6178e0 3.4251e5
28.00 -13.2278 -2.2089e1 1.1295e0 5.5560e5
28.50 -14.5277 -2.4149e1 1.2251e0 2.0384e6
29.00 -12.8445 -2.1952e1 3.1038e0 3.7868e5
29.50 -11.8419 -1.9458e1 3.2546e0 1.3895e5
30.00 -11.9401 -1.9548e1 3.0616e0 1.5329e5
30.50 -11.3015 -1.8452e1 2.9066e0 8.0944e4
31.00 -10.2806 -1.6997e1 4.0107e0 2.9160e4
31.50 -10.7792 -1.8463e1 4.7353e0 4.8008e4
32.00 -10.7702 -1.8176e1 3.0650e0 4.7582e4
32.50 -10.0344 -1.6939e1 4.0005e0 2.2796e4
33.00 -11.1496 -1.9643e1 4.6175e0 6.9536e4
33.50 -11.0359 -1.9972e1 4.4013e0 6.2062e4
34.00 -9.0026 -1.6299e1 7.4569e0 8.1236e3
34.50 -8.5696 -1.4655e1 4.8185e0 5.2682e3
35.00 -8.2005 -1.3802e1 4.0251e0 3.6418e3
35.50 -8.5483 -1.6152e1 8.5762e0 5.1571e3
36.00 -8.2088 -1.4691e1 6.1809e0 3.6721e3
36.50 -8.0394 -1.4106e1 4.9910e0 3.0997e3
37.00 -9.8536 -1.8786e1 4.9455e0 1.9026e4
37.50 -11.3116 -2.0992e1 1.6787e0 8.1766e4
38.00 -9.6629 -1.8833e1 4.2109e0 1.5723e4
38.50 -7.7839 -1.4931e1 7.6952e0 2.4006e3
39.00 -7.4788 -1.4175e1 6.7884e0 1.7692e3
39.50 -7.5970 -1.4814e1 7.4242e0 1.9913e3
40.00 -6.8100 -1.2661e1 6.4895e0 9.0585e2
40.50 -6.3520 -1.1800e1 6.7582e0 5.7263e2
41.00 -5.9052 -1.0859e1 5.9221e0 3.6595e2
41.50 -5.5820 -1.0469e1 6.7627e0 2.6460e2
42.00 -5.6785 -1.1094e1 7.0906e0 2.9151e2
42.50 -5.4594 -1.0816e1 7.1437e0 2.3396e2
43.00 -4.8092 -9.2674e0 6.2057e0 1.2163e2
43.50 -4.5687 -9.1506e0 7.2259e0 9.5418e1
44.00 -4.7529 -1.0642e1 1.0449e1 1.1492e2
44.50 -4.3611 -9.2507e0 8.0500e0 7.7345e1
45.00 -4.0458 -8.3333e0 6.4387e0 5.6158e1
45.50 -4.0430 -9.1319e0 9.5884e0 5.5995e1
46.00 -4.9273 -1.2776e1 1.0399e1 1.3701e2
46.50 -4.7380 -1.2111e1 8.7864e0 1.1320e2
47.00 -4.1132 -1.0589e1 9.2213e0 6.0139e1
47.50 -4.0307 -1.0668e1 9.6941e0 5.5300e1
48.00 -3.5953 -9.8806e0 1.0403e1 3.5426e1
48.50 -2.8672 -7.8391e0 1.1146e1 1.6588e1
49.00 -2.6153 -7.0240e0 9.8485e0 1.2672e1
49.50 -2.4432 -7.1338e0 1.2743e1 1.0509e1
50.00 -1.8853 -5.3257e0 1.1014e1 5.5884e0
50.50 -1.4858 -3.9212e0 8.2164e0 3.4185e0
51.00 -1.2959 -3.4644e0 7.9683e0 2.6544e0
51.50 -1.0883 -2.7497e0 6.2598e0 1.9691e0
52.00 -0.9391 -2.2681e0 5.0399e0 1.5577e0
52.50 -0.7618 -1.6871e0 3.5033e0 1.1421e0
53.00 -0.5933 -1.1576e0 2.0749e0 8.0987e-1
53.50 -0.4656 -7.9290e-1 1.1359e0 5.9291e-1
54.00 -0.3762 -5.7062e-1 6.3209e-1 4.5679e-1
54.50 -0.3122 -4.3244e-1 3.6641e-1 3.6647e-1
55.00 -0.2639 -3.3955e-1 2.1688e-1 3.0194e-1
55.50 -0.2266 -2.7583e-1 1.3306e-1 2.5439e-1
56.00 -0.1970 -2.3010e-1 8.5636e-2 2.1774e-1
56.50 -0.1726 -1.9541e-1 5.6857e-2 1.8836e-1
57.00 -0.1520 -1.6803e-1 3.8563e-2 1.6416e-1
57.50 -0.1345 -1.4596e-1 2.6710e-2 1.4398e-1
58.00 -0.1196 -1.2787e-1 1.8901e-2 1.2699e-1
58.50 -0.1067 -1.1283e-1 1.3676e-2 1.1259e-1
59.00 -0.0955 -1.0015e-1 1.0110e-2 1.0024e-1
59.50 -0.0858 -8.9288e-2 7.6117e-3 8.9543e-2
