# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
20.00 inf NaN NaN -1.0000e0
20.50 inf NaN NaN -1.0000e0
21.00 inf NaN NaN -1.0000e0
21.50 inf NaN NaN -1.0000e0
22.00 inf NaN NaN -1.0000e0
22.50 inf NaN NaN -1.0000e0
23.00 inf NaN NaN -1.0000e0
23.50 587.1374 5.7708e2 -3.7888e-11 -1.0000e0
24.00 268.6447 2.5872e2 2.4312e-1 -1.0000e0
24.50 55.0646 4.5075e1 0.0000e0 -1.0000e0
25.00 0.1529 -9.8363e0 7.4000e-14 -1.4182e-1
25.50 -12.3767 -2.2366e1 5.8130e-5 2.3720e5
26.00 -13.2256 -2.3200e1 7.9011e-2 5.5438e5
26.50 -11.4033 -2.0237e1 1.2574e0 8.9612e4
27.00 -12.3932 -2.0667e1 1.2911e0 2.4116e5
27.50 -13.4708 -2.1492e1 1.4316e0 7.0843e5
28.00 -15.7051 -2.5350e1 1.6529e0 6.6169e6
28.50 -13.8191 -2.2395e1 3.1118e0 1.0036e6
29.00 -12.9711 -2.0141e1 2.2209e0 4.2982e5
29.50 -13.1839 -2.1003e1 3.9535e0 5.3175e5
30.00 -13.1744 -2.1176e1 4.0235e0 5.2673e5
30.50 -12.5772 -1.9720e1 3.0874e0 2.8986e5
31.00 -12.3617 -1.9837e1 3.6622e0 2.3367e5
31.50 -12.0770 -1.9121e1 3.2317e0 1.7578e5
32.00 -11.4871 -1.8090e1 3.4413e0 9.7451e4
32.50 -12.3697 -2.0871e1 5.0746e0 2.3555e5
33.00 -12.5481 -2.0822e1 3.5846e0 2.8156e5
33.50 -11.4519 -1.8550e1 3.3242e0 9.4076e4
34.00 -10.1882 -1.6204e1 4.1187e0 2.6586e4
34.50 -9.9894 -1.6173e1 5.4855e0 2.1793e4
35.00 -9.5660 -1.5229e1 5.0475e0 1.4271e4
35.50 -9.3166 -1.4737e1 4.0833e0 1.1120e4
36.00 -9.2758 -1.4797e1 4.3557e0 1.0676e4
36.50 -10.3466 -1.7674e1 6.2671e0 3.1151e4
37.00 -9.8666 -1.6067e1 4.6864e0 1.9275e4
37.50 -10.4037 -1.7980e1 6.3942e0 3.2981e4
38.00 -9.5122 -1.5914e1 5.5083e0 1.3523e4
38.50 -8.7835 -1.4389e1 4.9306e0 6.5244e3
39.00 -8.5294 -1.4144e1 5.5384e0 5.0602e3
39.50 -8.5664 -1.4511e1 5.7496e0 5.2511e3
40.00 -9.0753 -1.6518e1 7.4497e0 8.7359e3
40.50 -8.2628 -1.4392e1 6.3207e0 3.8761e3
41.00 -7.6628 -1.3039e1 5.1062e0 2.1266e3
41.50 -8.1502 -1.5847e1 8.9324e0 3.4630e3
42.00 -7.6614 -1.4718e1 8.5255e0 2.1238e3
42.50 -6.8565 -1.2223e1 5.5861e0 9.4901e2
43.00 -6.4053 -1.1431e1 5.5211e0 6.0403e2
43.50 -7.0674 -1.4486e1 9.3099e0 1.1722e3
44.00 -6.6916 -1.3644e1 8.1545e0 8.0462e2
44.50 -6.0641 -1.2063e1 8.0339e0 4.2913e2
45.00 -6.0174 -1.1915e1 6.5138e0 4.0951e2
45.50 -6.3048 -1.3432e1 8.3095e0 5.4620e2
46.00 -5.8265 -1.2419e1 7.9518e0 3.3816e2
46.50 -5.6999 -1.2812e1 8.2892e0 2.9782e2
47.00 -4.9503 -1.1042e1 8.0570e0 1.4022e2
47.50 -4.4007 -9.7678e0 7.2423e0 8.0509e1
48.00 -3.8176 -8.4295e0 6.6048e0 4.4493e1
48.50 -3.6206 -8.1027e0 6.3792e0 3.6359e1
49.00 -3.4313 -7.9860e0 6.9675e0 2.9917e1
49.50 -3.0306 -7.2222e0 6.9261e0 1.9710e1
50.00 -2.6497 -6.7230e0 8.1651e0 1.3150e1
50.50 -2.2760 -5.9321e0 8.2324e0 8.7378e0
51.00 -2.1046 -5.8067e0 9.1990e0 7.2041e0
51.50 -1.8945 -5.3276e0 8.7979e0 5.6494e0
52.00 -1.6984 -4.9405e0 9.1655e0 4.4652e0
52.50 -1.4231 -4.1222e0 8.2067e0 3.1498e0
53.00 -1.0842 -3.0593e0 6.6830e0 1.9570e0
53.50 -0.7843 -2.0744e0 4.7270e0 1.1910e0
54.00 -0.5867 -1.4589e0 3.3673e0 7.9805e-1
54.50 -0.4366 -1.0057e0 2.2579e0 5.4750e-1
55.00 -0.3196 -6.5122e-1 1.2873e0 3.7654e-1
55.50 -0.2426 -4.3843e-1 7.2362e-1 2.7458e-1
56.00 -0.1901 -3.1112e-1 4.2378e-1 2.0940e-1
56.50 -0.1509 -2.2574e-1 2.4556e-1 1.6289e-1
57.00 -0.1207 -1.6643e-1 1.3965e-1 1.2833e-1
57.50 -0.0974 -1.2537e-1 7.9169e-2 1.0235e-1
58.00 -0.0793 -9.6630e-2 4.5742e-2 8.2565e-2
58.50 -0.0652 -7.6219e-2 2.7456e-2 6.7375e-2
59.00 -0.0540 -6.1280e-2 1.7296e-2 5.5495e-2
59.50 -0.0450 -4.9929e-2 1.1379e-2 4.6001e-2
