# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
20.00 inf NaN NaN -1.0000e0
20.50 inf NaN NaN -1.0000e0
21.00 inf NaN NaN -1.0000e0
21.50 inf NaN NaN -1.0000e0
22.00 inf NaN NaN -1.0000e0
22.50 inf NaN NaN -1.0000e0
23.00 inf NaN NaN -1.0000e0
23.50 592.9318 5.8288e2 -1.1366e-10 -1.0000e0
24.00 274.2687 2.6436e2 2.7432e-1 -1.0000e0
24.50 60.4221 5.0433e1 -5.9200e-13 -1.0000e0
25.00 5.2444 -4.7447e0 7.4000e-14 -9.9472e-1
25.50 -7.5460 -1.7535e1 6.7643e-5 1.8921e3
26.00 -8.6492 -1.8622e1 8.8785e-2 5.7046e3
26.50 -7.0593 -1.5879e1 1.3131e0 1.1626e3
27.00 -8.1845 -1.6389e1 1.3113e0 3.5839e3
27.50 -9.4021 -1.7416e1 1.5374e0 1.2113e4
28.00 -11.6897 -2.1285e1 1.8168e0 1.1933e5
28.50 -10.0363 -1.8565e1 3.2334e0 2.2839e4
29.00 -9.2780 -1.6302e1 2.1743e0 1.0700e4
29.50 -9.3786 -1.6722e1 3.8511e0 1.1832e4
30.00 -9.5138 -1.7135e1 4.1880e0 1.3545e4
30.50 -9.0924 -1.6013e1 3.3114e0 8.8863e3
31.00 -8.9133 -1.6149e1 4.1926e0 7.4292e3
31.50 -8.8087 -1.5692e1 3.6156e0 6.6915e3
32.00 -8.4004 -1.4907e1 3.8620e0 4.4478e3
32.50 -9.0620 -1.7212e1 6.0607e0 8.6204e3
33.00 -9.3436 -1.7445e1 4.4392e0 1.1424e4
33.50 -8.4612 -1.5353e1 3.8838e0 4.7269e3
34.00 -7.3245 -1.2921e1 4.0995e0 1.5160e3
34.50 -7.1521 -1.2808e1 5.4774e0 1.2758e3
35.00 -6.8796 -1.2083e1 4.7862e0 9.7123e2
35.50 -6.7318 -1.1819e1 4.2787e0 8.3769e2
36.00 -6.7291 -1.1939e1 4.6147e0 8.3536e2
36.50 -7.7384 -1.4857e1 7.2762e0 2.2938e3
37.00 -7.3742 -1.3398e1 5.4623e0 1.5933e3
37.50 -7.8675 -1.5148e1 7.2376e0 2.6101e3
38.00 -7.1051 -1.3223e1 6.1129e0 1.2172e3
38.50 -6.4592 -1.1672e1 4.9486e0 6.3755e2
39.00 -6.2520 -1.1435e1 5.5694e0 5.1806e2
39.50 -6.2864 -1.1699e1 5.6741e0 5.3622e2
40.00 -6.7122 -1.3528e1 8.1692e0 8.2134e2
40.50 -6.0869 -1.1722e1 6.4815e0 4.3905e2
41.00 -5.5979 -1.0526e1 5.2341e0 2.6887e2
41.50 -5.9058 -1.2799e1 1.0290e1 3.6617e2
42.00 -5.5446 -1.1910e1 9.5220e0 2.5485e2
42.50 -4.9334 -9.8207e0 6.0389e0 1.3785e2
43.00 -4.5448 -9.0076e0 5.5628e0 9.3145e1
43.50 -5.0024 -1.1548e1 1.0793e1 1.4776e2
44.00 -4.7296 -1.0936e1 9.5392e0 1.1225e2
44.50 -4.2217 -9.4649e0 8.6382e0 6.7151e1
45.00 -4.2066 -9.4581e0 7.5466e0 6.6128e1
45.50 -4.4125 -1.0760e1 9.8618e0 8.1474e1
46.00 -4.0338 -9.8858e0 9.3980e0 5.5473e1
46.50 -3.9214 -1.0265e1 1.0415e1 4.9469e1
47.00 -3.3147 -8.6118e0 9.6634e0 2.6515e1
47.50 -2.8909 -7.4840e0 8.5996e0 1.7009e1
48.00 -2.4320 -6.2505e0 7.6366e0 1.0382e1
48.50 -2.2989 -6.0093e0 7.4889e0 8.9632e0
49.00 -2.1785 -5.9843e0 8.3125e0 7.8328e0
49.50 -1.8661 -5.2521e0 8.0680e0 5.4633e0
50.00 -1.5746 -4.7339e0 8.9883e0 3.8288e0
50.50 -1.2898 -3.9546e0 8.3968e0 2.6319e0
51.00 -1.1615 -3.7560e0 8.8934e0 2.1948e0
51.50 -1.0283 -3.3850e0 8.3019e0 1.7962e0
52.00 -0.9073 -3.0833e0 8.2818e0 1.4776e0
52.50 -0.7338 -2.4401e0 6.6813e0 1.0829e0
53.00 -0.5242 -1.6583e0 4.5798e0 6.8919e-1
53.50 -0.3487 -1.0151e0 2.6908e0 4.1716e-1
54.00 -0.2411 -6.6027e-1 1.6906e0 2.7261e-1
54.50 -0.1629 -4.2002e-1 1.0234e0 1.7698e-1
55.00 -0.1043 -2.4439e-1 5.3037e-1 1.0997e-1
55.50 -0.0682 -1.4600e-1 2.7712e-1 7.0616e-2
56.00 -0.0453 -9.0934e-2 1.5382e-1 4.6374e-2
56.50 -0.0292 -5.5818e-2 8.4231e-2 2.9659e-2
57.00 -0.0176 -3.2571e-2 4.4476e-2 1.7744e-2
57.50 -0.0093 -1.7532e-2 2.2757e-2 9.3363e-3
58.00 -0.0035 -7.9404e-3 1.1500e-2 3.4854e-3
58.50 0.0005 -1.9682e-3 5.8696e-3 -4.5437e-4
59.00 0.0031 1.7028e-3 3.1088e-3 -3.0489e-3
59.50 0.0047 3.9624e-3 1.7264e-3 -4.7325e-3
