# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
20.00 inf NaN NaN -1.0000e0
20.50 inf NaN NaN -1.0000e0
21.00 inf NaN NaN -1.0000e0
21.50 inf NaN NaN -1.0000e0
22.00 inf NaN NaN -1.0000e0
22.50 inf NaN NaN -1.0000e0
23.00 inf NaN NaN -1.0000e0
23.50 586.7679 5.7671e2 0.0000e0 -1.0000e0
24.00 268.2789 2.5836e2 2.4334e-1 -1.0000e0
24.50 54.7016 4.4712e1 5.9200e-13 -1.0000e0
25.00 -0.2070 -1.0196e1 1.1100e-13 2.2997e-1
25.50 -12.7335 -2.2723e1 5.8212e-5 3.3891e5
26.00 -13.5792 -2.3554e1 7.9098e-2 7.8951e5
26.50 -11.7534 -2.0587e1 1.2577e0 1.2718e5
27.00 -12.7387 -2.1012e1 1.2912e0 3.4068e5
27.50 -13.8116 -2.1832e1 1.4322e0 9.9607e5
28.00 -16.0408 -2.5685e1 1.6539e0 9.2560e6
28.50 -14.1506 -2.2726e1 3.1136e0 1.3981e6
29.00 -13.2981 -2.0468e1 2.2213e0 5.9604e5
29.50 -13.5060 -2.1325e1 3.9539e0 7.3379e5
30.00 -13.4921 -2.1494e1 4.0243e0 7.2369e5
30.50 -12.8891 -2.0031e1 3.0875e0 3.9595e5
31.00 -12.6682 -2.0141e1 3.6626e0 3.1749e5
31.50 -12.3784 -1.9421e1 3.2313e0 2.3761e5
32.00 -11.7836 -1.8386e1 3.4424e0 1.3109e5
32.50 -12.6595 -2.1159e1 5.0790e0 3.1475e5
33.00 -12.8330 -2.1105e1 3.5879e0 3.7436e5
33.50 -11.7325 -1.8829e1 3.3239e0 1.2455e5
34.00 -10.4650 -1.6481e1 4.1194e0 3.5067e4
34.50 -10.2609 -1.6445e1 5.4849e0 2.8592e4
35.00 -9.8316 -1.5493e1 5.0399e0 1.8612e4
35.50 -9.5768 -1.4996e1 4.0827e0 1.4426e4
36.00 -9.5311 -1.5051e1 4.3497e0 1.3781e4
36.50 -10.5977 -1.7923e1 6.2596e0 4.0041e4
37.00 -10.1120 -1.6311e1 4.6834e0 2.4636e4
37.50 -10.6431 -1.8217e1 6.3924e0 4.1903e4
38.00 -9.7484 -1.6149e1 5.5009e0 1.7126e4
38.50 -9.0168 -1.4625e1 4.9337e0 8.2395e3
39.00 -8.7585 -1.4377e1 5.5396e0 6.3636e3
39.50 -8.7927 -1.4746e1 5.7582e0 6.5850e3
40.00 -9.2999 -1.6754e1 7.4439e0 1.0936e4
40.50 -8.4805 -1.4619e1 6.3326e0 4.8189e3
41.00 -7.8746 -1.3256e1 5.1039e0 2.6286e3
41.50 -8.3622 -1.6071e1 8.9123e0 4.2812e3
42.00 -7.8688 -1.4936e1 8.5102e0 2.6134e3
42.50 -7.0572 -1.2432e1 5.5833e0 1.1602e3
43.00 -6.6016 -1.1636e1 5.5236e0 7.3529e2
43.50 -7.2645 -1.4697e1 9.2825e0 1.4276e3
44.00 -6.8841 -1.3850e1 8.1325e0 9.7558e2
44.50 -6.2497 -1.2258e1 8.0180e0 5.1686e2
45.00 -6.1992 -1.2105e1 6.4935e0 4.9137e2
45.50 -6.4862 -1.3626e1 8.2853e0 6.5504e2
46.00 -6.0033 -1.2609e1 7.9298e0 4.0376e2
46.50 -5.8733 -1.2998e1 8.2518e0 3.5443e2
47.00 -5.1183 -1.1223e1 8.0282e0 1.6606e2
47.50 -4.5636 -9.9442e0 7.2143e0 9.4923e1
48.00 -3.9750 -8.6010e0 6.5778e0 5.2249e1
48.50 -3.7737 -8.2698e0 6.3484e0 4.2542e1
49.00 -3.5806 -8.1501e0 6.9323e0 3.4893e1
49.50 -3.1754 -7.3840e0 6.8875e0 2.2936e1
50.00 -2.7897 -6.8832e0 8.1202e0 1.5277e1
50.50 -2.4114 -6.0920e0 8.1948e0 1.0150e1
51.00 -2.2364 -5.9673e0 9.1639e0 8.3595e0
51.50 -2.0218 -5.4860e0 8.7665e0 6.5520e0
52.00 -1.8211 -5.0972e0 9.1435e0 5.1787e0
52.50 -1.5402 -4.2760e0 8.2146e0 3.6656e0
53.00 -1.1942 -3.2063e0 6.7354e0 2.3010e0
53.50 -0.8866 -2.2095e0 4.8086e0 1.4269e0
54.00 -0.6820 -1.5816e0 3.4524e0 9.7783e-1
54.50 -0.5255 -1.1161e0 2.3337e0 6.9124e-1
55.00 -0.4023 -7.4920e-1 1.3427e0 4.9527e-1
55.50 -0.3201 -5.2665e-1 7.6147e-1 3.7729e-1
56.00 -0.2630 -3.9177e-1 4.4988e-1 3.0083e-1
56.50 -0.2196 -3.0007e-1 2.6336e-1 2.4553e-1
57.00 -0.1855 -2.3533e-1 1.5176e-1 2.0379e-1
57.50 -0.1585 -1.8956e-1 8.7565e-2 1.7179e-1
58.00 -0.1370 -1.5668e-1 5.1761e-2 1.4683e-1
58.50 -0.1197 -1.3254e-1 3.1949e-2 1.2711e-1
59.00 -0.1054 -1.1420e-1 2.0779e-2 1.1118e-1
59.50 -0.0935 -9.9685e-2 1.4159e-2 9.8007e-2
