# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 588.7170 5.7864e2 1.9518e-11 -1.0000e0
23.50 228.2960 2.1822e2 2.1139e-5 -1.0000e0
24.00 63.1990 5.3120e1 6.7646e-7 -1.0000e0
24.50 20.1709 1.0117e1 1.3385e-1 -1.0000e0
25.00 7.2853 -1.7733e0 6.4348e-1 -9.9931e-1
25.50 3.7093 -4.6814e0 5.6306e-1 -9.7551e-1
26.00 2.6745 -5.1505e0 1.2090e0 -9.3106e-1
26.50 2.2476 -4.6905e0 1.7485e0 -8.9434e-1
27.00 1.8951 -3.8861e0 1.0548e0 -8.4969e-1
27.50 1.2287 -3.9543e0 1.2217e0 -7.0732e-1
28.00 0.9221 -3.6895e0 1.0871e0 -6.0232e-1
28.50 0.6895 -3.4407e0 1.2316e0 -4.9815e-1
29.00 0.4705 -3.1786e0 1.1109e0 -3.7534e-1
29.50 0.2459 -3.0494e0 1.2795e0 -2.1797e-1
30.00 0.1180 -2.7726e0 1.1692e0 -1.1131e-1
30.50 -0.0463 -2.6146e0 1.1826e0 4.7354e-2
31.00 -0.2064 -2.5605e0 1.4627e0 2.2929e-1
31.50 -0.3468 -2.4876e0 1.5918e0 4.1459e-1
32.00 -0.4113 -2.3547e0 1.7258e0 5.0876e-1
32.50 -0.4123 -2.0658e0 1.1779e0 5.1031e-1
33.00 -0.4363 -1.9175e0 1.1113e0 5.4690e-1
33.50 -0.4639 -1.8216e0 1.1700e0 5.9029e-1
34.00 -0.4862 -1.7551e0 1.3489e0 6.2611e-1
34.50 -0.4735 -1.5894e0 1.1656e0 6.0553e-1
35.00 -0.4673 -1.5004e0 1.1603e0 5.9562e-1
35.50 -0.4428 -1.3846e0 1.1065e0 5.5707e-1
36.00 -0.4191 -1.2480e0 9.5803e-1 5.2065e-1
36.50 -0.4069 -1.1424e0 8.5597e-1 5.0219e-1
37.00 -0.3972 -1.0676e0 8.4857e-1 4.8771e-1
37.50 -0.3949 -1.0064e0 8.5313e-1 4.8419e-1
38.00 -0.3944 -9.4397e-1 8.0419e-1 4.8347e-1
38.50 -0.3750 -8.4835e-1 6.9813e-1 4.5497e-1
39.00 -0.3510 -7.5624e-1 6.0569e-1 4.2053e-1
39.50 -0.3196 -6.5997e-1 5.1227e-1 3.7653e-1
40.00 -0.2907 -5.7580e-1 4.4064e-1 3.3730e-1
40.50 -0.2669 -5.1201e-1 4.0640e-1 3.0585e-1
41.00 -0.2410 -4.4437e-1 3.4410e-1 2.7256e-1
41.50 -0.2131 -3.8315e-1 2.9221e-1 2.3748e-1
42.00 -0.1822 -3.2206e-1 2.4558e-1 1.9991e-1
42.50 -0.1568 -2.7260e-1 2.0408e-1 1.6972e-1
43.00 -0.1346 -2.3149e-1 1.7620e-1 1.4412e-1
43.50 -0.1157 -1.9362e-1 1.4100e-1 1.2269e-1
44.00 -0.0998 -1.6402e-1 1.1809e-1 1.0499e-1
44.50 -0.0848 -1.3535e-1 9.2285e-2 8.8486e-2
45.00 -0.0722 -1.1090e-1 6.9746e-2 7.4898e-2
45.50 -0.0621 -9.1809e-2 5.4898e-2 6.4042e-2
46.00 -0.0531 -7.5745e-2 4.2514e-2 5.4577e-2
46.50 -0.0447 -6.1590e-2 3.2603e-2 4.5713e-2
47.00 -0.0368 -4.8417e-2 2.2774e-2 3.7475e-2
47.50 -0.0299 -3.7502e-2 1.4892e-2 3.0345e-2
48.00 -0.0240 -2.8788e-2 9.3514e-3 2.4249e-2
48.50 -0.0187 -2.1844e-2 5.9825e-3 1.8849e-2
49.00 -0.0144 -1.6277e-2 3.5274e-3 1.4535e-2
49.50 -0.0110 -1.2216e-2 2.0694e-3 1.1086e-2
50.00 -0.0082 -9.0525e-3 1.1970e-3 8.2808e-3
50.50 -0.0061 -6.6687e-3 6.9728e-4 6.1584e-3
51.00 -0.0047 -4.9772e-3 4.1146e-4 4.6962e-3
51.50 -0.0035 -3.7171e-3 2.6340e-4 3.5230e-3
52.00 -0.0026 -2.7719e-3 1.4363e-4 2.6522e-3
52.50 -0.0020 -2.0429e-3 8.2969e-5 2.0045e-3
53.00 -0.0015 -1.5144e-3 4.8137e-5 1.4919e-3
53.50 -0.0011 -1.1109e-3 2.7507e-5 1.0979e-3
54.00 -0.0008 -8.1128e-4 1.5703e-5 8.0384e-4
54.50 -0.0006 -5.8944e-4 8.9363e-6 5.8518e-4
55.00 -0.0004 -4.2575e-4 5.0534e-6 4.2333e-4
55.50 -0.0003 -3.0536e-4 2.8294e-6 3.0400e-4
56.00 -0.0002 -2.1691e-4 1.5624e-6 2.1615e-4
56.50 -0.0002 -1.5252e-4 8.5076e-7 1.5211e-4
57.00 -0.0001 -1.0608e-4 4.5691e-7 1.0586e-4
57.50 -0.0001 -7.2707e-5 2.4113e-7 7.2589e-5
58.00 -0.0000 -4.8954e-5 1.2452e-7 4.8893e-5
58.50 -0.0000 -3.2366e-5 6.2763e-8 3.2335e-5
59.00 -0.0000 -2.0995e-5 3.0866e-8 2.0980e-5
59.50 -0.0000 -1.3235e-5 1.4687e-8 1.3228e-5
