# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 576.8522 5.6677e2 -1.1988e-11 -1.0000e0
23.50 223.8215 2.1374e2 2.8363e-5 -1.0000e0
24.00 62.1098 5.2031e1 9.8382e-7 -1.0000e0
24.50 19.9634 9.9127e0 1.4623e-1 -1.0000e0
25.00 7.3221 -1.7229e0 6.5254e-1 -9.9934e-1
25.50 3.8054 -4.5736e0 5.6924e-1 -9.7775e-1
26.00 2.7800 -5.0203e0 1.1910e0 -9.3796e-1
26.50 2.3438 -4.5588e0 1.6977e0 -9.0403e-1
27.00 1.9747 -3.7851e0 1.0268e0 -8.6119e-1
27.50 1.3096 -3.8484e0 1.1821e0 -7.3007e-1
28.00 0.9977 -3.5918e0 1.0584e0 -6.3127e-1
28.50 0.7600 -3.3451e0 1.1897e0 -5.3232e-1
29.00 0.5358 -3.0907e0 1.0737e0 -4.1477e-1
29.50 0.3084 -2.9609e0 1.2292e0 -2.6536e-1
30.00 0.1747 -2.6921e0 1.1222e0 -1.6033e-1
30.50 0.0073 -2.5370e0 1.1336e0 -7.2544e-3
31.00 -0.1541 -2.4786e0 1.3888e0 1.6657e-1
31.50 -0.2960 -2.4047e0 1.5040e0 3.4450e-1
32.00 -0.3632 -2.2721e0 1.6098e0 4.3799e-1
32.50 -0.3701 -1.9997e0 1.1166e0 4.4785e-1
33.00 -0.3971 -1.8559e0 1.0548e0 4.8750e-1
33.50 -0.4267 -1.7608e0 1.1079e0 5.3222e-1
34.00 -0.4504 -1.6922e0 1.2674e0 5.6891e-1
34.50 -0.4410 -1.5335e0 1.0961e0 5.5431e-1
35.00 -0.4367 -1.4465e0 1.0911e0 5.4757e-1
35.50 -0.4146 -1.3342e0 1.0417e0 5.1377e-1
36.00 -0.3937 -1.2033e0 9.0433e-1 4.8249e-1
36.50 -0.3836 -1.1019e0 8.0873e-1 4.6762e-1
37.00 -0.3755 -1.0288e0 7.9926e-1 4.5571e-1
37.50 -0.3744 -9.6871e-1 8.0220e-1 4.5407e-1
38.00 -0.3752 -9.0858e-1 7.5698e-1 4.5524e-1
38.50 -0.3577 -8.1702e-1 6.5829e-1 4.3006e-1
39.00 -0.3356 -7.2864e-1 5.7104e-1 3.9881e-1
39.50 -0.3061 -6.3619e-1 4.8296e-1 3.5814e-1
40.00 -0.2789 -5.5518e-1 4.1486e-1 3.2169e-1
40.50 -0.2564 -4.9341e-1 3.8175e-1 2.9230e-1
41.00 -0.2320 -4.2842e-1 3.2335e-1 2.6110e-1
41.50 -0.2053 -3.6947e-1 2.7436e-1 2.2785e-1
42.00 -0.1757 -3.1057e-1 2.3012e-1 1.9206e-1
42.50 -0.1512 -2.6295e-1 1.9124e-1 1.6324e-1
43.00 -0.1299 -2.2324e-1 1.6496e-1 1.3874e-1
43.50 -0.1118 -1.8684e-1 1.3221e-1 1.1827e-1
44.00 -0.0965 -1.5830e-1 1.1076e-1 1.0131e-1
44.50 -0.0820 -1.3073e-1 8.6701e-2 8.5487e-2
45.00 -0.0700 -1.0723e-1 6.5658e-2 7.2468e-2
45.50 -0.0602 -8.8831e-2 5.1731e-2 6.2050e-2
46.00 -0.0516 -7.3343e-2 4.0100e-2 5.2949e-2
46.50 -0.0434 -5.9678e-2 3.0771e-2 4.4400e-2
47.00 -0.0358 -4.6970e-2 2.1531e-2 3.6450e-2
47.50 -0.0291 -3.6435e-2 1.4119e-2 2.9555e-2
48.00 -0.0234 -2.8009e-2 8.8782e-3 2.3646e-2
48.50 -0.0182 -2.1276e-2 5.6908e-3 1.8394e-2
49.00 -0.0141 -1.5873e-2 3.3579e-3 1.4198e-2
49.50 -0.0108 -1.1924e-2 1.9722e-3 1.0833e-2
50.00 -0.0081 -8.8428e-3 1.1430e-3 8.0938e-3
50.50 -0.0060 -6.5179e-3 6.6707e-4 6.0209e-3
51.00 -0.0046 -4.8659e-3 3.9300e-4 4.5930e-3
51.50 -0.0034 -3.6355e-3 2.5294e-4 3.4463e-3
52.00 -0.0026 -2.7116e-3 1.3726e-4 2.5948e-3
52.50 -0.0020 -1.9986e-3 7.9524e-5 1.9618e-3
53.00 -0.0015 -1.4822e-3 4.6077e-5 1.4606e-3
53.50 -0.0011 -1.0875e-3 2.6358e-5 1.0751e-3
54.00 -0.0008 -7.9432e-4 1.5054e-5 7.8719e-4
54.50 -0.0006 -5.7717e-4 8.5687e-6 5.7308e-4
55.00 -0.0004 -4.1692e-4 4.8462e-6 4.1460e-4
55.50 -0.0003 -2.9905e-4 2.7136e-6 2.9774e-4
56.00 -0.0002 -2.1243e-4 1.4986e-6 2.1170e-4
56.50 -0.0001 -1.4938e-4 8.1607e-7 1.4898e-4
57.00 -0.0001 -1.0390e-4 4.3830e-7 1.0368e-4
57.50 -0.0001 -7.1211e-5 2.3131e-7 7.1098e-5
58.00 -0.0000 -4.7947e-5 1.1945e-7 4.7889e-5
58.50 -0.0000 -3.1701e-5 6.0212e-8 3.1672e-5
59.00 -0.0000 -2.0564e-5 2.9611e-8 2.0549e-5
59.50 -0.0000 -1.2963e-5 1.4091e-8 1.2956e-5
