# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 557.4736 5.4740e2 1.0882e-11 -1.0000e0
23.50 216.1962 2.0612e2 3.7622e-5 -1.0000e0
24.00 60.1019 5.0023e1 2.0953e-6 -1.0000e0
24.50 19.4069 9.3607e0 1.6641e-1 -1.0000e0
25.00 7.2155 -1.7868e0 6.6464e-1 -9.9926e-1
25.50 3.7949 -4.5557e0 5.7802e-1 -9.7751e-1
26.00 2.7332 -5.0881e0 1.3053e0 -9.3499e-1
26.50 2.3205 -4.5915e0 1.7938e0 -9.0178e-1
27.00 1.9651 -3.7759e0 1.0260e0 -8.5986e-1
27.50 1.3014 -3.8493e0 1.2217e0 -7.2784e-1
28.00 0.9923 -3.5922e0 1.0860e0 -6.2926e-1
28.50 0.7577 -3.3360e0 1.1938e0 -5.3124e-1
29.00 0.5287 -3.0922e0 1.0842e0 -4.1065e-1
29.50 0.2985 -2.9762e0 1.2677e0 -2.5803e-1
30.00 0.1694 -2.6988e0 1.1475e0 -1.5579e-1
30.50 0.0016 -2.5476e0 1.1709e0 -1.5673e-3
31.00 -0.1584 -2.4890e0 1.4355e0 1.7164e-1
31.50 -0.3005 -2.4207e0 1.5696e0 3.5052e-1
32.00 -0.3636 -2.2798e0 1.6660e0 4.3854e-1
32.50 -0.3681 -1.9999e0 1.1395e0 4.4505e-1
33.00 -0.3929 -1.8518e0 1.0696e0 4.8124e-1
33.50 -0.4206 -1.7535e0 1.1189e0 5.2284e-1
34.00 -0.4418 -1.6797e0 1.2704e0 5.5552e-1
34.50 -0.4307 -1.5169e0 1.0862e0 5.3833e-1
35.00 -0.4246 -1.4264e0 1.0744e0 5.2899e-1
35.50 -0.4009 -1.3092e0 1.0133e0 4.9310e-1
36.00 -0.3796 -1.1775e0 8.7436e-1 4.6175e-1
36.50 -0.3697 -1.0772e0 7.8274e-1 4.4730e-1
37.00 -0.3622 -1.0060e0 7.7805e-1 4.3647e-1
37.50 -0.3624 -9.4927e-1 7.8844e-1 4.3673e-1
38.00 -0.3636 -8.9038e-1 7.4534e-1 4.3851e-1
38.50 -0.3461 -7.9790e-1 6.4169e-1 4.1360e-1
39.00 -0.3242 -7.0905e-1 5.5037e-1 3.8290e-1
39.50 -0.2955 -6.1792e-1 4.6297e-1 3.4379e-1
40.00 -0.2692 -5.3842e-1 3.9549e-1 3.0893e-1
40.50 -0.2474 -4.7748e-1 3.6177e-1 2.8074e-1
41.00 -0.2239 -4.1424e-1 3.0559e-1 2.5096e-1
41.50 -0.1980 -3.5688e-1 2.5832e-1 2.1900e-1
42.00 -0.1694 -2.9963e-1 2.1575e-1 1.8460e-1
42.50 -0.1458 -2.5358e-1 1.7931e-1 1.5692e-1
43.00 -0.1252 -2.1506e-1 1.5449e-1 1.3334e-1
43.50 -0.1077 -1.7991e-1 1.2373e-1 1.1370e-1
44.00 -0.0929 -1.5225e-1 1.0344e-1 9.7355e-2
44.50 -0.0790 -1.2564e-1 8.0800e-2 8.2166e-2
45.00 -0.0674 -1.0312e-1 6.1330e-2 6.9723e-2
45.50 -0.0581 -8.5461e-2 4.8365e-2 5.9776e-2
46.00 -0.0498 -7.0628e-2 3.7570e-2 5.1077e-2
46.50 -0.0420 -5.7506e-2 2.8844e-2 4.2880e-2
47.00 -0.0346 -4.5308e-2 2.0225e-2 3.5247e-2
47.50 -0.0282 -3.5168e-2 1.3273e-2 2.8604e-2
48.00 -0.0227 -2.7070e-2 8.3366e-3 2.2911e-2
48.50 -0.0177 -2.0585e-2 5.3566e-3 1.7833e-2
49.00 -0.0137 -1.5376e-2 3.1621e-3 1.3778e-2
49.50 -0.0105 -1.1559e-2 1.8573e-3 1.0514e-2
50.00 -0.0078 -8.5768e-3 1.0782e-3 7.8552e-3
50.50 -0.0058 -6.3244e-3 6.3062e-4 5.8437e-3
51.00 -0.0044 -4.7227e-3 3.7090e-4 4.4595e-3
51.50 -0.0033 -3.5283e-3 2.4020e-4 3.3456e-3
52.00 -0.0025 -2.6323e-3 1.2949e-4 2.5190e-3
52.50 -0.0019 -1.9403e-3 7.5049e-5 1.9055e-3
53.00 -0.0014 -1.4389e-3 4.3486e-5 1.4186e-3
53.50 -0.0010 -1.0557e-3 2.4878e-5 1.0440e-3
54.00 -0.0008 -7.7110e-4 1.4208e-5 7.6437e-4
54.50 -0.0006 -5.6026e-4 8.0860e-6 5.5640e-4
55.00 -0.0004 -4.0468e-4 4.5725e-6 4.0249e-4
55.50 -0.0003 -2.9024e-4 2.5597e-6 2.8900e-4
56.00 -0.0002 -2.0616e-4 1.4130e-6 2.0548e-4
56.50 -0.0001 -1.4497e-4 7.6909e-7 1.4460e-4
57.00 -0.0001 -1.0084e-4 4.1283e-7 1.0064e-4
57.50 -0.0001 -6.9126e-5 2.1776e-7 6.9019e-5
58.00 -0.0000 -4.6551e-5 1.1238e-7 4.6496e-5
58.50 -0.0000 -3.0782e-5 5.6601e-8 3.0754e-5
59.00 -0.0000 -1.9969e-5 2.7808e-8 1.9955e-5
59.50 -0.0000 -1.2587e-5 1.3216e-8 1.2581e-5
