# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 257.1198 2.4382e2 0.0000e0 -1.0000e0
23.10 213.1490 1.9985e2 0.0000e0 -1.0000e0
23.20 177.1906 1.6389e2 0.0000e0 -1.0000e0
23.30 147.7026 1.3440e2 0.0000e0 -1.0000e0
23.40 123.4665 1.1016e2 0.0000e0 -1.0000e0
23.50 103.5116 9.0208e1 0.0000e0 -1.0000e0
23.60 87.0575 7.3754e1 0.0000e0 -1.0000e0
23.70 73.4758 6.0172e1 0.0000e0 -1.0000e0
23.80 62.2566 4.8953e1 1.6122e-9 -1.0000e0
23.90 52.9833 3.9680e1 9.8717e-6 -1.0000e0
24.00 45.3160 3.2013e1 3.8038e-3 -1.0000e0
24.10 38.9701 2.5702e1 1.5759e-1 -1.0000e0
24.20 33.5408 2.0742e1 5.6946e-1 -1.0000e0
24.30 28.0632 1.5650e1 5.8424e-1 -1.0000e0
24.40 22.9128 1.0402e1 8.7327e-1 -1.0000e0
24.50 18.7473 6.2834e0 7.0061e-1 -1.0000e0
24.60 15.4994 3.1165e0 5.3660e-1 -1.0000e0
24.70 13.0001 6.9254e-1 4.4622e-1 -1.0000e0
24.80 11.0969 -1.1358e0 4.3133e-1 -9.9998e-1
24.90 9.6574 -2.4769e0 4.8992e-1 -9.9994e-1
25.00 8.5619 -3.4242e0 5.4311e-1 -9.9981e-1
25.10 7.7061 -4.0988e0 4.8580e-1 -9.9955e-1
25.20 7.0154 -4.6372e0 4.3330e-1 -9.9910e-1
25.30 6.4529 -5.0955e0 5.8601e-1 -9.9842e-1
25.40 6.0006 -5.4416e0 9.0969e-1 -9.9752e-1
25.50 5.6364 -5.6464e0 1.2075e0 -9.9643e-1
25.60 5.3327 -5.7320e0 1.3613e0 -9.9517e-1
25.70 5.0634 -5.7415e0 1.4432e0 -9.9368e-1
25.80 4.8009 -5.7015e0 1.4951e0 -9.9178e-1
25.90 4.5069 -5.6870e0 1.4314e0 -9.8897e-1
26.00 4.1525 -5.8513e0 1.5276e0 -9.8427e-1
26.10 3.7568 -6.2232e0 2.0776e0 -9.7664e-1
26.20 3.3728 -6.6470e0 2.7680e0 -9.6571e-1
26.30 3.0409 -6.9839e0 3.2806e0 -9.5221e-1
26.40 2.7756 -7.1893e0 3.5756e0 -9.3768e-1
26.50 2.5764 -7.2666e0 3.7114e0 -9.2395e-1
26.60 2.4348 -7.2315e0 3.7374e0 -9.1239e-1
26.70 2.3351 -7.1056e0 3.6702e0 -9.0320e-1
26.80 2.2554 -6.9278e0 3.5124e0 -8.9517e-1
26.90 2.1747 -6.7581e0 3.3451e0 -8.8635e-1
27.00 2.0830 -6.6435e0 3.3152e0 -8.7545e-1
27.10 1.9845 -6.5782e0 3.4591e0 -8.6254e-1
27.20 1.8879 -6.5201e0 3.6549e0 -8.4861e-1
27.30 1.7977 -6.4380e0 3.7630e0 -8.3431e-1
27.40 1.7125 -6.3312e0 3.7542e0 -8.1959e-1
27.50 1.6302 -6.2105e0 3.6748e0 -8.0412e-1
27.60 1.5499 -6.0810e0 3.5448e0 -7.8773e-1
27.70 1.4713 -5.9464e0 3.3563e0 -7.7037e-1
27.80 1.3944 -5.8141e0 3.1259e0 -7.5201e-1
27.90 1.3199 -5.6904e0 2.8911e0 -7.3283e-1
28.00 1.2486 -5.5779e0 2.6917e0 -7.1309e-1
28.10 1.1804 -5.4761e0 2.5453e0 -6.9285e-1
28.20 1.1137 -5.3860e0 2.4434e0 -6.7165e-1
28.30 1.0456 -5.3151e0 2.3867e0 -6.4851e-1
28.40 0.9751 -5.2706e0 2.4032e0 -6.2283e-1
28.50 0.9038 -5.2487e0 2.5051e0 -5.9495e-1
28.60 0.8347 -5.2358e0 2.6616e0 -5.6599e-1
28.70 0.7701 -5.2188e0 2.8261e0 -5.3702e-1
28.80 0.7108 -5.1905e0 2.9647e0 -5.0873e-1
28.90 0.6571 -5.1488e0 3.0598e0 -4.8165e-1
29.00 0.6094 -5.0924e0 3.1037e0 -4.5632e-1
29.10 0.5674 -5.0219e0 3.0939e0 -4.3300e-1
29.20 0.5301 -4.9414e0 3.0398e0 -4.1144e-1
29.30 0.4958 -4.8575e0 2.9650e0 -3.9091e-1
29.40 0.4631 -4.7765e0 2.8921e0 -3.7069e-1
29.50 0.4314 -4.7016e0 2.8305e0 -3.5042e-1
29.60 0.4008 -4.6340e0 2.7834e0 -3.3024e-1
29.70 0.3720 -4.5730e0 2.7529e0 -3.1061e-1
29.80 0.3454 -4.5169e0 2.7413e0 -2.9209e-1
29.90 0.3217 -4.4640e0 2.7506e0 -2.7507e-1
30.00 0.3006 -4.4123e0 2.7763e0 -2.5962e-1
30.10 0.2818 -4.3596e0 2.8038e0 -2.4560e-1
30.20 0.2650 -4.3044e0 2.8175e0 -2.3277e-1
30.30 0.2495 -4.2461e0 2.8089e0 -2.2083e-1
30.40 0.2349 -4.1849e0 2.7763e0 -2.0937e-1
30.50 0.2201 -4.1238e0 2.7271e0 -1.9757e-1
30.60 0.2038 -4.0686e0 2.6815e0 -1.8437e-1
30.70 0.1851 -4.0252e0 2.6671e0 -1.6898e-1
30.80 0.1642 -3.9953e0 2.7002e0 -1.5144e-1
30.90 0.1422 -3.9756e0 2.7738e0 -1.3258e-1
31.00 0.1206 -3.9595e0 2.8668e0 -1.1357e-1
31.10 0.1003 -3.9406e0 2.9577e0 -9.5457e-2
31.20 0.0821 -3.9135e0 3.0246e0 -7.8853e-2
31.30 0.0659 -3.8755e0 3.0463e0 -6.3729e-2
31.40 0.0506 -3.8286e0 3.0156e0 -4.9361e-2
31.50 0.0354 -3.7785e0 2.9492e0 -3.4786e-2
31.60 0.0196 -3.7310e0 2.8764e0 -1.9440e-2
31.70 0.0034 -3.6880e0 2.8170e0 -3.4194e-3
31.80 -0.0127 -3.6482e0 2.7719e0 1.2819e-2
31.90 -0.0285 -3.6100e0 2.7339e0 2.8958e-2
32.00 -0.0439 -3.5724e0 2.6984e0 4.4889e-2
32.10 -0.0587 -3.5353e0 2.6645e0 6.0504e-2
32.20 -0.0730 -3.4979e0 2.6313e0 7.5710e-2
32.30 -0.0866 -3.4602e0 2.5977e0 9.0492e-2
