# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 241.1794 2.2788e2 0.0000e0 -1.0000e0
23.10 199.9315 1.8663e2 0.0000e0 -1.0000e0
23.20 166.2269 1.5292e2 -8.5945e-12 -1.0000e0
23.30 138.6093 1.2531e2 0.0000e0 -1.0000e0
23.40 115.9284 1.0262e2 0.0000e0 -1.0000e0
23.50 97.2687 8.3965e1 0.0000e0 -1.0000e0
23.60 81.8947 6.8591e1 5.3716e-13 -1.0000e0
23.70 69.2142 5.5910e1 1.0743e-12 -1.0000e0
23.80 58.7476 4.5444e1 1.6026e-8 -1.0000e0
23.90 50.1030 3.6799e1 4.2358e-5 -1.0000e0
24.00 42.9610 2.9658e1 8.6907e-3 -1.0000e0
24.10 37.0498 2.3803e1 2.1624e-1 -1.0000e0
24.20 31.9429 1.9186e1 4.3686e-1 -1.0000e0
24.30 26.8220 1.4298e1 5.8829e-1 -1.0000e0
24.40 22.1023 9.4747e0 9.8236e-1 -1.0000e0
24.50 18.2795 5.7201e0 8.7764e-1 -1.0000e0
24.60 15.2839 2.8393e0 7.0435e-1 -1.0000e0
24.70 12.9663 6.2878e-1 5.7793e-1 -1.0000e0
24.80 11.1916 -1.0444e0 5.3374e-1 -9.9999e-1
24.90 9.8398 -2.2736e0 5.6712e-1 -9.9995e-1
25.00 8.8009 -3.1475e0 5.8083e-1 -9.9985e-1
25.10 7.9817 -3.7846e0 5.0214e-1 -9.9966e-1
25.20 7.3196 -4.2988e0 4.7267e-1 -9.9934e-1
25.30 6.7830 -4.7220e0 6.4264e-1 -9.9887e-1
25.40 6.3510 -5.0247e0 9.3825e-1 -9.9826e-1
25.50 5.9980 -5.1965e0 1.1766e0 -9.9752e-1
25.60 5.6969 -5.2706e0 1.2910e0 -9.9664e-1
25.70 5.4248 -5.2833e0 1.3732e0 -9.9559e-1
25.80 5.1567 -5.2549e0 1.4283e0 -9.9424e-1
25.90 4.8591 -5.2586e0 1.3880e0 -9.9224e-1
26.00 4.5117 -5.4200e0 1.5165e0 -9.8902e-1
26.10 4.1350 -5.7467e0 2.0183e0 -9.8400e-1
26.20 3.7731 -6.1092e0 2.6221e0 -9.7702e-1
26.30 3.4587 -6.3976e0 3.0738e0 -9.6853e-1
26.40 3.2040 -6.5747e0 3.3381e0 -9.5940e-1
26.50 3.0086 -6.6404e0 3.4591e0 -9.5064e-1
26.60 2.8646 -6.6062e0 3.4761e0 -9.4299e-1
26.70 2.7568 -6.4923e0 3.4018e0 -9.3650e-1
26.80 2.6650 -6.3381e0 3.2517e0 -9.3040e-1
26.90 2.5719 -6.1979e0 3.1183e0 -9.2361e-1
27.00 2.4708 -6.1056e0 3.1222e0 -9.1548e-1
27.10 2.3662 -6.0489e0 3.2663e0 -9.0616e-1
27.20 2.2651 -5.9913e0 3.4330e0 -8.9618e-1
27.30 2.1698 -5.9107e0 3.5120e0 -8.8580e-1
27.40 2.0787 -5.8101e0 3.4923e0 -8.7491e-1
27.50 1.9899 -5.6987e0 3.4134e0 -8.6329e-1
27.60 1.9028 -5.5807e0 3.2869e0 -8.5084e-1
27.70 1.8174 -5.4597e0 3.1081e0 -8.3756e-1
27.80 1.7342 -5.3421e0 2.8967e0 -8.2346e-1
27.90 1.6540 -5.2325e0 2.6881e0 -8.0872e-1
28.00 1.5775 -5.1322e0 2.5150e0 -7.9351e-1
28.10 1.5045 -5.0402e0 2.3871e0 -7.7788e-1
28.20 1.4334 -4.9577e0 2.2949e0 -7.6150e-1
28.30 1.3616 -4.8916e0 2.2423e0 -7.4376e-1
28.40 1.2885 -4.8475e0 2.2539e0 -7.2432e-1
28.50 1.2154 -4.8216e0 2.3368e0 -7.0341e-1
28.60 1.1446 -4.8027e0 2.4636e0 -6.8165e-1
28.70 1.0778 -4.7805e0 2.5956e0 -6.5965e-1
28.80 1.0155 -4.7499e0 2.7061e0 -6.3779e-1
28.90 0.9583 -4.7090e0 2.7823e0 -6.1645e-1
29.00 0.9064 -4.6565e0 2.8176e0 -5.9604e-1
29.10 0.8599 -4.5922e0 2.8081e0 -5.7678e-1
29.20 0.8176 -4.5194e0 2.7607e0 -5.5852e-1
29.30 0.7783 -4.4439e0 2.6945e0 -5.4082e-1
29.40 0.7407 -4.3710e0 2.6282e0 -5.2324e-1
29.50 0.7044 -4.3037e0 2.5707e0 -5.0560e-1
29.60 0.6695 -4.2428e0 2.5259e0 -4.8805e-1
29.70 0.6368 -4.1873e0 2.4961e0 -4.7100e-1
29.80 0.6067 -4.1355e0 2.4823e0 -4.5487e-1
29.90 0.5797 -4.0852e0 2.4838e0 -4.3992e-1
30.00 0.5554 -4.0348e0 2.4950e0 -4.2615e-1
30.10 0.5334 -3.9834e0 2.5053e0 -4.1337e-1
30.20 0.5130 -3.9303e0 2.5058e0 -4.0133e-1
30.30 0.4940 -3.8755e0 2.4921e0 -3.8980e-1
30.40 0.4755 -3.8192e0 2.4630e0 -3.7845e-1
30.50 0.4569 -3.7641e0 2.4242e0 -3.6676e-1
30.60 0.4371 -3.7144e0 2.3909e0 -3.5408e-1
30.70 0.4156 -3.6741e0 2.3822e0 -3.4005e-1
30.80 0.3928 -3.6437e0 2.4070e0 -3.2481e-1
30.90 0.3695 -3.6200e0 2.4579e0 -3.0894e-1
