# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.60 -0.0125 -3.1632e0 2.3295e0 1.2594e-2
32.70 -0.0248 -3.1274e0 2.3035e0 2.5092e-2
32.80 -0.0360 -3.0901e0 2.2760e0 3.6674e-2
32.90 -0.0464 -3.0512e0 2.2458e0 4.7491e-2
33.00 -0.0563 -3.0116e0 2.2154e0 5.7928e-2
33.10 -0.0662 -2.9730e0 2.1902e0 6.8399e-2
33.20 -0.0762 -2.9362e0 2.1742e0 7.9169e-2
33.30 -0.0865 -2.9012e0 2.1652e0 9.0372e-2
33.40 -0.0973 -2.8680e0 2.1576e0 1.0219e-1
33.50 -0.1087 -2.8371e0 2.1493e0 1.1488e-1
33.60 -0.1209 -2.8095e0 2.1440e0 1.2855e-1
33.70 -0.1336 -2.7851e0 2.1443e0 1.4299e-1
33.80 -0.1465 -2.7622e0 2.1462e0 1.5773e-1
33.90 -0.1589 -2.7391e0 2.1427e0 1.7228e-1
34.00 -0.1708 -2.7147e0 2.1298e0 1.8629e-1
34.10 -0.1820 -2.6889e0 2.1088e0 1.9963e-1
34.20 -0.1925 -2.6622e0 2.0837e0 2.1230e-1
34.30 -0.2024 -2.6353e0 2.0585e0 2.2434e-1
34.40 -0.2117 -2.6086e0 2.0359e0 2.3583e-1
34.50 -0.2206 -2.5827e0 2.0187e0 2.4686e-1
34.60 -0.2290 -2.5573e0 2.0079e0 2.5733e-1
34.70 -0.2367 -2.5315e0 1.9999e0 2.6704e-1
34.80 -0.2436 -2.5041e0 1.9874e0 2.7589e-1
34.90 -0.2500 -2.4749e0 1.9655e0 2.8404e-1
35.00 -0.2561 -2.4450e0 1.9360e0 2.9192e-1
35.10 -0.2623 -2.4161e0 1.9048e0 2.9990e-1
35.20 -0.2686 -2.3891e0 1.8779e0 3.0817e-1
35.30 -0.2752 -2.3643e0 1.8578e0 3.1675e-1
35.40 -0.2819 -2.3416e0 1.8446e0 3.2558e-1
35.50 -0.2887 -2.3207e0 1.8377e0 3.3472e-1
35.60 -0.2959 -2.3016e0 1.8362e0 3.4430e-1
35.70 -0.3034 -2.2845e0 1.8399e0 3.5442e-1
35.80 -0.3111 -2.2694e0 1.8499e0 3.6498e-1
35.90 -0.3189 -2.2559e0 1.8662e0 3.7564e-1
36.00 -0.3263 -2.2424e0 1.8847e0 3.8589e-1
36.10 -0.3331 -2.2274e0 1.8981e0 3.9526e-1
36.20 -0.3389 -2.2099e0 1.9007e0 4.0346e-1
36.30 -0.3439 -2.1897e0 1.8914e0 4.1040e-1
36.40 -0.3480 -2.1672e0 1.8723e0 4.1618e-1
36.50 -0.3514 -2.1431e0 1.8474e0 4.2112e-1
36.60 -0.3546 -2.1185e0 1.8210e0 4.2560e-1
36.70 -0.3577 -2.0944e0 1.7966e0 4.2998e-1
36.80 -0.3608 -2.0712e0 1.7761e0 4.3455e-1
36.90 -0.3643 -2.0494e0 1.7600e0 4.3949e-1
37.00 -0.3681 -2.0293e0 1.7477e0 4.4492e-1
37.10 -0.3722 -2.0109e0 1.7391e0 4.5086e-1
37.20 -0.3765 -1.9942e0 1.7347e0 4.5717e-1
37.30 -0.3809 -1.9788e0 1.7345e0 4.6353e-1
37.40 -0.3850 -1.9637e0 1.7362e0 4.6955e-1
37.50 -0.3886 -1.9477e0 1.7358e0 4.7498e-1
37.60 -0.3919 -1.9305e0 1.7305e0 4.7984e-1
37.70 -0.3950 -1.9126e0 1.7213e0 4.8436e-1
37.80 -0.3979 -1.8949e0 1.7111e0 4.8876e-1
37.90 -0.4009 -1.8776e0 1.7023e0 4.9314e-1
38.00 -0.4038 -1.8609e0 1.6955e0 4.9746e-1
38.10 -0.4066 -1.8444e0 1.6898e0 5.0164e-1
38.20 -0.4092 -1.8279e0 1.6841e0 5.0557e-1
38.30 -0.4115 -1.8110e0 1.6764e0 5.0913e-1
38.40 -0.4136 -1.7934e0 1.6657e0 5.1224e-1
38.50 -0.4153 -1.7753e0 1.6519e0 5.1486e-1
38.60 -0.4168 -1.7567e0 1.6364e0 5.1704e-1
38.70 -0.4179 -1.7381e0 1.6208e0 5.1883e-1
38.80 -0.4189 -1.7194e0 1.6059e0 5.2029e-1
38.90 -0.4197 -1.7009e0 1.5918e0 5.2148e-1
39.00 -0.4203 -1.6826e0 1.5786e0 5.2243e-1
39.10 -0.4208 -1.6644e0 1.5668e0 5.2312e-1
39.20 -0.4210 -1.6462e0 1.5560e0 5.2348e-1
39.30 -0.4210 -1.6276e0 1.5448e0 5.2347e-1
39.40 -0.4207 -1.6085e0 1.5316e0 5.2310e-1
39.50 -0.4203 -1.5887e0 1.5154e0 5.2242e-1
39.60 -0.4197 -1.5685e0 1.4964e0 5.2152e-1
39.70 -0.4190 -1.5481e0 1.4755e0 5.2051e-1
39.80 -0.4184 -1.5280e0 1.4546e0 5.1950e-1
39.90 -0.4177 -1.5085e0 1.4350e0 5.1853e-1
40.00 -0.4171 -1.4898e0 1.4175e0 5.1760e-1
40.10 -0.4165 -1.4716e0 1.4022e0 5.1665e-1
40.20 -0.4158 -1.4539e0 1.3888e0 5.1555e-1
40.30 -0.4149 -1.4363e0 1.3763e0 5.1420e-1
40.40 -0.4138 -1.4184e0 1.3633e0 5.1254e-1
40.50 -0.4125 -1.4000e0 1.3486e0 5.1059e-1
40.60 -0.4111 -1.3813e0 1.3321e0 5.0849e-1
40.70 -0.4097 -1.3628e0 1.3145e0 5.0637e-1
40.80 -0.4084 -1.3448e0 1.2977e0 5.0437e-1
40.90 -0.4071 -1.3276e0 1.2830e0 5.0249e-1
