# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 603.7594 5.9368e2 -4.5604e-11 -1.0000e0
23.50 234.0926 2.2401e2 1.5712e-5 -1.0000e0
24.00 64.6692 5.4591e1 3.9671e-7 -1.0000e0
24.50 20.5187 1.0462e1 1.2046e-1 -1.0000e0
25.00 7.3026 -1.7793e0 6.3048e-1 -9.9933e-1
25.50 3.6515 -4.7570e0 5.5750e-1 -9.7405e-1
26.00 2.6244 -5.2087e0 1.1792e0 -9.2752e-1
26.50 2.1952 -4.7610e0 1.7427e0 -8.8867e-1
27.00 1.8473 -3.9552e0 1.0754e0 -8.4233e-1
27.50 1.1796 -4.0220e0 1.2316e0 -6.9261e-1
28.00 0.8755 -3.7524e0 1.0958e0 -5.8337e-1
28.50 0.6448 -3.5062e0 1.2579e0 -4.7522e-1
29.00 0.4310 -3.2354e0 1.1326e0 -3.5017e-1
29.50 0.2094 -3.1011e0 1.2989e0 -1.8890e-1
30.00 0.0835 -2.8222e0 1.1916e0 -8.0111e-2
30.50 -0.0787 -2.6611e0 1.2019e0 8.1828e-2
31.00 -0.2386 -2.6098e0 1.4937e0 2.6948e-1
31.50 -0.3779 -2.5355e0 1.6253e0 4.5927e-1
32.00 -0.4422 -2.4054e0 1.7799e0 5.5605e-1
32.50 -0.4403 -2.1087e0 1.2098e0 5.5317e-1
33.00 -0.4631 -1.9592e0 1.1431e0 5.8906e-1
33.50 -0.4903 -1.8641e0 1.2071e0 6.3281e-1
34.00 -0.5127 -1.8011e0 1.4019e0 6.6974e-1
34.50 -0.4985 -1.6325e0 1.2164e0 6.4618e-1
35.00 -0.4918 -1.5437e0 1.2135e0 6.3523e-1
35.50 -0.4665 -1.4277e0 1.1615e0 5.9438e-1
36.00 -0.4412 -1.2877e0 1.0065e0 5.5453e-1
36.50 -0.4275 -1.1789e0 8.9843e-1 5.3343e-1
37.00 -0.4166 -1.1022e0 8.9050e-1 5.1677e-1
37.50 -0.4129 -1.0388e0 8.9295e-1 5.1117e-1
38.00 -0.4114 -9.7439e-1 8.4050e-1 5.0891e-1
38.50 -0.3907 -8.7651e-1 7.3166e-1 4.7808e-1
39.00 -0.3655 -7.8220e-1 6.3755e-1 4.4128e-1
39.50 -0.3325 -6.8287e-1 5.4028e-1 3.9442e-1
40.00 -0.3021 -5.9605e-1 4.6612e-1 3.5268e-1
40.50 -0.2772 -5.3066e-1 4.3153e-1 3.1940e-1
41.00 -0.2501 -4.6059e-1 3.6565e-1 2.8414e-1
41.50 -0.2210 -3.9724e-1 3.1114e-1 2.4732e-1
42.00 -0.1890 -3.3406e-1 2.6227e-1 2.0802e-1
42.50 -0.1625 -2.8274e-1 2.1790e-1 1.7647e-1
43.00 -0.1396 -2.4023e-1 1.8833e-1 1.4978e-1
43.50 -0.1199 -2.0088e-1 1.5057e-1 1.2739e-1
44.00 -0.1034 -1.7022e-1 1.2617e-1 1.0896e-1
44.50 -0.0878 -1.4043e-1 9.8575e-2 9.1754e-2
45.00 -0.0747 -1.1495e-1 7.4334e-2 7.7560e-2
45.50 -0.0641 -9.5108e-2 5.8455e-2 6.6231e-2
46.00 -0.0548 -7.8399e-2 4.5204e-2 5.6369e-2
46.50 -0.0461 -6.3706e-2 3.4649e-2 4.7160e-2
47.00 -0.0379 -5.0019e-2 2.4154e-2 3.8609e-2
47.50 -0.0307 -3.8696e-2 1.5760e-2 3.1225e-2
48.00 -0.0246 -2.9661e-2 9.8912e-3 2.4924e-2
48.50 -0.0192 -2.2483e-2 6.3147e-3 1.9360e-2
49.00 -0.0148 -1.6733e-2 3.7206e-3 1.4915e-2
49.50 -0.0113 -1.2546e-2 2.1810e-3 1.1372e-2
50.00 -0.0085 -9.2906e-3 1.2592e-3 8.4928e-3
50.50 -0.0063 -6.8404e-3 7.3209e-4 6.3148e-3
51.00 -0.0048 -5.1035e-3 4.3233e-4 4.8133e-3
51.50 -0.0036 -3.8108e-3 2.7532e-4 3.6108e-3
52.00 -0.0027 -2.8409e-3 1.5085e-4 2.7179e-3
52.50 -0.0021 -2.0934e-3 8.7057e-5 2.0531e-3
53.00 -0.0015 -1.5516e-3 5.0510e-5 1.5280e-3
53.50 -0.0011 -1.1380e-3 2.8853e-5 1.1244e-3
54.00 -0.0008 -8.3105e-4 1.6469e-5 8.2325e-4
54.50 -0.0006 -6.0378e-4 9.3716e-6 5.9932e-4
55.00 -0.0004 -4.3611e-4 5.2995e-6 4.3357e-4
55.50 -0.0003 -3.1279e-4 2.9672e-6 3.1136e-4
56.00 -0.0002 -2.2218e-4 1.6387e-6 2.2139e-4
56.50 -0.0002 -1.5622e-4 8.9244e-7 1.5579e-4
57.00 -0.0001 -1.0865e-4 4.7938e-7 1.0842e-4
57.50 -0.0001 -7.4464e-5 2.5303e-7 7.4340e-5
58.00 -0.0001 -5.0133e-5 1.3069e-7 5.0069e-5
58.50 -0.0000 -3.3144e-5 6.5896e-8 3.3112e-5
59.00 -0.0000 -2.1499e-5 3.2418e-8 2.1483e-5
59.50 -0.0000 -1.3553e-5 1.5433e-8 1.3545e-5
