# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 573.4282 5.6335e2 3.5064e-11 -1.0000e0
23.50 222.2038 2.1213e2 2.5217e-5 -1.0000e0
24.00 61.5599 5.1481e1 1.2744e-6 -1.0000e0
24.50 19.6796 9.6290e0 1.4756e-1 -1.0000e0
25.00 7.1625 -1.8588e0 6.5448e-1 -9.9922e-1
25.50 3.6616 -4.7053e0 5.6866e-1 -9.7431e-1
26.00 2.5842 -5.2749e0 1.3367e0 -9.2454e-1
26.50 2.1855 -4.7790e0 1.8718e0 -8.8758e-1
27.00 1.8545 -3.9164e0 1.0646e0 -8.4346e-1
27.50 1.1885 -3.9981e0 1.2826e0 -6.9533e-1
28.00 0.8869 -3.7293e0 1.1283e0 -5.8807e-1
28.50 0.6597 -3.4691e0 1.2528e0 -4.8299e-1
29.00 0.4378 -3.2151e0 1.1365e0 -3.5457e-1
29.50 0.2109 -3.1013e0 1.3410e0 -1.9013e-1
30.00 0.0901 -2.8120e0 1.2149e0 -8.6123e-2
30.50 -0.0734 -2.6573e0 1.2428e0 7.6161e-2
31.00 -0.2318 -2.6053e0 1.5445e0 2.6081e-1
31.50 -0.3719 -2.5391e0 1.7012e0 4.5046e-1
32.00 -0.4309 -2.3974e0 1.8390e0 5.3870e-1
32.50 -0.4271 -2.0929e0 1.2283e0 5.3274e-1
33.00 -0.4474 -1.9383e0 1.1508e0 5.6423e-1
33.50 -0.4723 -1.8386e0 1.2077e0 6.0364e-1
34.00 -0.4914 -1.7676e0 1.3866e0 6.3467e-1
34.50 -0.4755 -1.5943e0 1.1833e0 6.0876e-1
35.00 -0.4667 -1.5008e0 1.1703e0 5.9473e-1
35.50 -0.4395 -1.3782e0 1.1017e0 5.5192e-1
36.00 -0.4144 -1.2384e0 9.4701e-1 5.1340e-1
36.50 -0.4015 -1.1324e0 8.4686e-1 4.9402e-1
37.00 -0.3919 -1.0590e0 8.4578e-1 4.7976e-1
37.50 -0.3904 -1.0010e0 8.5943e-1 4.7761e-1
38.00 -0.3899 -9.3904e-1 8.1130e-1 4.7684e-1
38.50 -0.3697 -8.4068e-1 6.9647e-1 4.4729e-1
39.00 -0.3451 -7.4647e-1 5.9721e-1 4.1216e-1
39.50 -0.3137 -6.5003e-1 5.0228e-1 3.6852e-1
40.00 -0.2851 -5.6618e-1 4.2977e-1 3.2990e-1
40.50 -0.2615 -5.0244e-1 3.9431e-1 2.9891e-1
41.00 -0.2361 -4.3561e-1 3.3291e-1 2.6633e-1
41.50 -0.2086 -3.7516e-1 2.8169e-1 2.3190e-1
42.00 -0.1782 -3.1495e-1 2.3589e-1 1.9511e-1
42.50 -0.1532 -2.6646e-1 1.9606e-1 1.6561e-1
43.00 -0.1315 -2.2604e-1 1.6913e-1 1.4055e-1
43.50 -0.1130 -1.8893e-1 1.3518e-1 1.1962e-1
44.00 -0.0974 -1.5984e-1 1.1296e-1 1.0229e-1
44.50 -0.0827 -1.3177e-1 8.8035e-2 8.6178e-2
45.00 -0.0704 -1.0800e-1 6.6643e-2 7.2976e-2
45.50 -0.0606 -8.9423e-2 5.2487e-2 6.2444e-2
46.00 -0.0519 -7.3828e-2 4.0720e-2 5.3261e-2
46.50 -0.0437 -6.0057e-2 3.1233e-2 4.4643e-2
47.00 -0.0360 -4.7242e-2 2.1852e-2 3.6624e-2
47.50 -0.0292 -3.6596e-2 1.4283e-2 2.9666e-2
48.00 -0.0234 -2.8112e-2 8.9551e-3 2.3723e-2
48.50 -0.0183 -2.1347e-2 5.7385e-3 1.8447e-2
49.00 -0.0141 -1.5919e-2 3.3844e-3 1.4233e-2
49.50 -0.0108 -1.1952e-2 1.9850e-3 1.0856e-2
50.00 -0.0081 -8.8593e-3 1.1492e-3 8.1077e-3
50.50 -0.0060 -6.5278e-3 6.7029e-4 6.0295e-3
51.00 -0.0046 -4.8727e-3 3.9510e-4 4.5988e-3
51.50 -0.0034 -3.6384e-3 2.5394e-4 3.4492e-3
52.00 -0.0026 -2.7136e-3 1.3783e-4 2.5965e-3
52.50 -0.0020 -2.0000e-3 7.9594e-5 1.9631e-3
53.00 -0.0015 -1.4824e-3 4.6189e-5 1.4608e-3
53.50 -0.0011 -1.0873e-3 2.6391e-5 1.0749e-3
54.00 -0.0008 -7.9401e-4 1.5064e-5 7.8687e-4
54.50 -0.0006 -5.7683e-4 8.5708e-6 5.7275e-4
55.00 -0.0004 -4.1661e-4 4.8457e-6 4.1429e-4
55.50 -0.0003 -2.9877e-4 2.7122e-6 2.9747e-4
56.00 -0.0002 -2.1221e-4 1.4971e-6 2.1149e-4
56.50 -0.0001 -1.4922e-4 8.1479e-7 1.4883e-4
57.00 -0.0001 -1.0379e-4 4.3733e-7 1.0358e-4
57.50 -0.0001 -7.1147e-5 2.3067e-7 7.1034e-5
58.00 -0.0000 -4.7911e-5 1.1904e-7 4.7853e-5
58.50 -0.0000 -3.1681e-5 5.9955e-8 3.1651e-5
59.00 -0.0000 -2.0552e-5 2.9455e-8 2.0537e-5
59.50 -0.0000 -1.2955e-5 1.3999e-8 1.2948e-5
