# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 593.3794 5.8330e2 1.9068e-12 -1.0000e0
23.50 230.0579 2.1998e2 1.8871e-5 -1.0000e0
24.00 63.6296 5.3551e1 5.8276e-7 -1.0000e0
24.50 20.2548 1.0200e1 1.2927e-1 -1.0000e0
25.00 7.2728 -1.7911e0 6.3977e-1 -9.9931e-1
25.50 3.6734 -4.7219e0 5.6070e-1 -9.7461e-1
26.00 2.6354 -5.1986e0 1.2145e0 -9.2831e-1
26.50 2.2117 -4.7397e0 1.7667e0 -8.9048e-1
27.00 1.8652 -3.9242e0 1.0656e0 -8.4514e-1
27.50 1.1983 -3.9941e0 1.2362e0 -6.9830e-1
28.00 0.8938 -3.7263e0 1.0976e0 -5.9088e-1
28.50 0.6630 -3.4768e0 1.2475e0 -4.8468e-1
29.00 0.4461 -3.2117e0 1.1248e0 -3.5989e-1
29.50 0.2225 -3.0826e0 1.2983e0 -1.9945e-1
30.00 0.0967 -2.8029e0 1.1869e0 -9.2184e-2
30.50 -0.0664 -2.6438e0 1.2008e0 6.8614e-2
31.00 -0.2261 -2.5915e0 1.4905e0 2.5374e-1
31.50 -0.3660 -2.5189e0 1.6249e0 4.4191e-1
32.00 -0.4294 -2.3862e0 1.7706e0 5.3641e-1
32.50 -0.4283 -2.0908e0 1.2012e0 5.3459e-1
33.00 -0.4511 -1.9409e0 1.1328e0 5.7000e-1
33.50 -0.4780 -1.8448e0 1.1938e0 6.1290e-1
34.00 -0.4998 -1.7793e0 1.3804e0 6.4844e-1
34.50 -0.4858 -1.6108e0 1.1926e0 6.2552e-1
35.00 -0.4790 -1.5212e0 1.1873e0 6.1442e-1
35.50 -0.4536 -1.4042e0 1.1318e0 5.7403e-1
36.00 -0.4289 -1.2654e0 9.7909e-1 5.3560e-1
36.50 -0.4159 -1.1581e0 8.7447e-1 5.1572e-1
37.00 -0.4056 -1.0827e0 8.6789e-1 5.0024e-1
37.50 -0.4028 -1.0210e0 8.7300e-1 4.9596e-1
38.00 -0.4018 -9.5769e-1 8.2256e-1 4.9451e-1
38.50 -0.3817 -8.6052e-1 7.1370e-1 4.6471e-1
39.00 -0.3570 -7.6699e-1 6.1932e-1 4.2903e-1
39.50 -0.3248 -6.6924e-1 5.2383e-1 3.8373e-1
40.00 -0.2952 -5.8385e-1 4.5085e-1 3.4340e-1
40.50 -0.2709 -5.1929e-1 4.1621e-1 3.1115e-1
41.00 -0.2445 -4.5063e-1 3.5237e-1 2.7704e-1
41.50 -0.2161 -3.8852e-1 2.9934e-1 2.4124e-1
42.00 -0.1848 -3.2657e-1 2.5178e-1 2.0298e-1
42.50 -0.1589 -2.7639e-1 2.0922e-1 1.7226e-1
43.00 -0.1365 -2.3473e-1 1.8071e-1 1.4623e-1
43.50 -0.1173 -1.9629e-1 1.4452e-1 1.2442e-1
44.00 -0.1011 -1.6627e-1 1.2102e-1 1.0644e-1
44.50 -0.0859 -1.3716e-1 9.4525e-2 8.9661e-2
45.00 -0.0731 -1.1234e-1 7.1383e-2 7.5848e-2
45.50 -0.0628 -9.2980e-2 5.6166e-2 6.4821e-2
46.00 -0.0537 -7.6689e-2 4.3479e-2 5.5214e-2
46.50 -0.0452 -6.2342e-2 3.3336e-2 4.6226e-2
47.00 -0.0372 -4.8985e-2 2.3270e-2 3.7876e-2
47.50 -0.0302 -3.7921e-2 1.5199e-2 3.0653e-2
48.00 -0.0242 -2.9092e-2 9.5397e-3 2.4485e-2
48.50 -0.0188 -2.2066e-2 6.0984e-3 1.9027e-2
49.00 -0.0146 -1.6435e-2 3.5946e-3 1.4667e-2
49.50 -0.0111 -1.2330e-2 2.1080e-3 1.1185e-2
50.00 -0.0083 -9.1344e-3 1.2184e-3 8.3537e-3
50.50 -0.0062 -6.7276e-3 7.0923e-4 6.2120e-3
51.00 -0.0047 -5.0204e-3 4.1865e-4 4.7362e-3
51.50 -0.0035 -3.7489e-3 2.6748e-4 3.5529e-3
52.00 -0.0027 -2.7953e-3 1.4610e-4 2.6745e-3
52.50 -0.0020 -2.0600e-3 8.4338e-5 2.0210e-3
53.00 -0.0015 -1.5269e-3 4.8939e-5 1.5041e-3
53.50 -0.0011 -1.1200e-3 2.7959e-5 1.1068e-3
54.00 -0.0008 -8.1790e-4 1.5960e-5 8.1034e-4
54.50 -0.0006 -5.9422e-4 9.0817e-6 5.8990e-4
55.00 -0.0004 -4.2920e-4 5.1354e-6 4.2674e-4
55.50 -0.0003 -3.0783e-4 2.8752e-6 3.0645e-4
56.00 -0.0002 -2.1866e-4 1.5876e-6 2.1789e-4
56.50 -0.0002 -1.5375e-4 8.6450e-7 1.5333e-4
57.00 -0.0001 -1.0694e-4 4.6429e-7 1.0671e-4
57.50 -0.0001 -7.3291e-5 2.4502e-7 7.3171e-5
58.00 -0.0000 -4.9346e-5 1.2653e-7 4.9284e-5
58.50 -0.0000 -3.2625e-5 6.3776e-8 3.2594e-5
59.00 -0.0000 -2.1163e-5 3.1364e-8 2.1148e-5
59.50 -0.0000 -1.3341e-5 1.4924e-8 1.3334e-5
