# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.60 0.0260 -3.1001e0 2.2709e0 -2.5685e-2
32.70 0.0133 -3.0650e0 2.2457e0 -1.3226e-2
32.80 0.0016 -3.0284e0 2.2189e0 -1.6197e-3
32.90 -0.0092 -2.9903e0 2.1895e0 9.2802e-3
33.00 -0.0196 -2.9515e0 2.1597e0 1.9832e-2
33.10 -0.0300 -2.9136e0 2.1347e0 3.0412e-2
33.20 -0.0404 -2.8773e0 2.1179e0 4.1261e-2
33.30 -0.0512 -2.8428e0 2.1073e0 5.2507e-2
33.40 -0.0623 -2.8099e0 2.0978e0 6.4330e-2
33.50 -0.0741 -2.7793e0 2.0881e0 7.6963e-2
33.60 -0.0867 -2.7520e0 2.0817e0 9.0517e-2
33.70 -0.0997 -2.7278e0 2.0811e0 1.0479e-1
33.80 -0.1127 -2.7051e0 2.0822e0 1.1933e-1
33.90 -0.1255 -2.6822e0 2.0784e0 1.3369e-1
34.00 -0.1376 -2.6580e0 2.0659e0 1.4754e-1
34.10 -0.1491 -2.6326e0 2.0456e0 1.6077e-1
34.20 -0.1599 -2.6064e0 2.0216e0 1.7336e-1
34.30 -0.1700 -2.5799e0 1.9972e0 1.8536e-1
34.40 -0.1797 -2.5537e0 1.9754e0 1.9683e-1
34.50 -0.1888 -2.5280e0 1.9585e0 2.0785e-1
34.60 -0.1975 -2.5030e0 1.9474e0 2.1834e-1
34.70 -0.2055 -2.4775e0 1.9388e0 2.2810e-1
34.80 -0.2127 -2.4504e0 1.9259e0 2.3705e-1
34.90 -0.2194 -2.4218e0 1.9044e0 2.4538e-1
35.00 -0.2259 -2.3925e0 1.8760e0 2.5346e-1
35.10 -0.2324 -2.3642e0 1.8463e0 2.6163e-1
35.20 -0.2391 -2.3379e0 1.8207e0 2.7005e-1
35.30 -0.2459 -2.3136e0 1.8016e0 2.7875e-1
35.40 -0.2528 -2.2913e0 1.7891e0 2.8766e-1
35.50 -0.2599 -2.2706e0 1.7824e0 2.9685e-1
35.60 -0.2673 -2.2517e0 1.7807e0 3.0643e-1
35.70 -0.2750 -2.2346e0 1.7839e0 3.1650e-1
35.80 -0.2829 -2.2195e0 1.7928e0 3.2696e-1
35.90 -0.2908 -2.2058e0 1.8075e0 3.3749e-1
36.00 -0.2983 -2.1921e0 1.8239e0 3.4763e-1
36.10 -0.3052 -2.1770e0 1.8354e0 3.5694e-1
36.20 -0.3113 -2.1595e0 1.8369e0 3.6517e-1
36.30 -0.3164 -2.1396e0 1.8275e0 3.7222e-1
36.40 -0.3208 -2.1176e0 1.8093e0 3.7821e-1
36.50 -0.3245 -2.0941e0 1.7857e0 3.8340e-1
36.60 -0.3280 -2.0701e0 1.7608e0 3.8816e-1
36.70 -0.3313 -2.0464e0 1.7378e0 3.9282e-1
36.80 -0.3348 -2.0238e0 1.7183e0 3.9765e-1
36.90 -0.3385 -2.0025e0 1.7029e0 4.0282e-1
37.00 -0.3425 -1.9826e0 1.6910e0 4.0845e-1
37.10 -0.3468 -1.9645e0 1.6825e0 4.1454e-1
37.20 -0.3513 -1.9481e0 1.6782e0 4.2097e-1
37.30 -0.3559 -1.9329e0 1.6778e0 4.2743e-1
37.40 -0.3602 -1.9179e0 1.6793e0 4.3356e-1
37.50 -0.3640 -1.9021e0 1.6787e0 4.3913e-1
37.60 -0.3675 -1.8852e0 1.6735e0 4.4418e-1
37.70 -0.3708 -1.8677e0 1.6647e0 4.4890e-1
37.80 -0.3740 -1.8502e0 1.6550e0 4.5351e-1
37.90 -0.3771 -1.8333e0 1.6466e0 4.5808e-1
38.00 -0.3802 -1.8168e0 1.6399e0 4.6260e-1
38.10 -0.3832 -1.8007e0 1.6343e0 4.6698e-1
38.20 -0.3860 -1.7844e0 1.6286e0 4.7112e-1
38.30 -0.3886 -1.7678e0 1.6211e0 4.7490e-1
38.40 -0.3909 -1.7506e0 1.6107e0 4.7826e-1
38.50 -0.3928 -1.7329e0 1.5975e0 4.8116e-1
38.60 -0.3945 -1.7148e0 1.5827e0 4.8363e-1
38.70 -0.3959 -1.6965e0 1.5679e0 4.8572e-1
38.80 -0.3971 -1.6783e0 1.5538e0 4.8749e-1
38.90 -0.3981 -1.6602e0 1.5402e0 4.8899e-1
39.00 -0.3990 -1.6423e0 1.5276e0 4.9026e-1
39.10 -0.3996 -1.6245e0 1.5162e0 4.9126e-1
39.20 -0.4001 -1.6066e0 1.5057e0 4.9194e-1
39.30 -0.4003 -1.5884e0 1.4948e0 4.9226e-1
39.40 -0.4003 -1.5696e0 1.4819e0 4.9223e-1
39.50 -0.4001 -1.5502e0 1.4661e0 4.9192e-1
39.60 -0.3997 -1.5305e0 1.4477e0 4.9140e-1
39.70 -0.3993 -1.5106e0 1.4276e0 4.9078e-1
39.80 -0.3989 -1.4910e0 1.4074e0 4.9014e-1
39.90 -0.3985 -1.4720e0 1.3885e0 4.8954e-1
40.00 -0.3981 -1.4536e0 1.3716e0 4.8897e-1
40.10 -0.3977 -1.4359e0 1.3568e0 4.8836e-1
40.20 -0.3972 -1.4185e0 1.3437e0 4.8760e-1
40.30 -0.3965 -1.4013e0 1.3315e0 4.8659e-1
40.40 -0.3956 -1.3837e0 1.3187e0 4.8528e-1
40.50 -0.3945 -1.3657e0 1.3044e0 4.8370e-1
40.60 -0.3934 -1.3475e0 1.2883e0 4.8198e-1
40.70 -0.3922 -1.3293e0 1.2713e0 4.8024e-1
40.80 -0.3911 -1.3118e0 1.2550e0 4.7859e-1
40.90 -0.3901 -1.2950e0 1.2407e0 4.7706e-1
41.00 -0.3891 -1.2790e0 1.2289e0 4.7559e-1
41.10 -0.3880 -1.2638e0 1.2195e0 4.7410e-1
41.20 -0.3870 -1.2492e0 1.2126e0 4.7254e-1
41.30 -0.3858 -1.2353e0 1.2091e0 4.7083e-1
41.40 -0.3845 -1.2216e0 1.2083e0 4.6884e-1
41.50 -0.3829 -1.2078e0 1.2078e0 4.6650e-1
41.60 -0.3810 -1.1933e0 1.2051e0 4.6378e-1
41.70 -0.3789 -1.1783e0 1.1990e0 4.6073e-1
41.80 -0.3767 -1.1630e0 1.1904e0 4.5744e-1
41.90 -0.3743 -1.1476e0 1.1810e0 4.5391e-1
42.00 -0.3717 -1.1322e0 1.1720e0 4.5019e-1
