# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 250.7477 2.3744e2 0.0000e0 -1.0000e0
23.10 207.8449 1.9454e2 0.0000e0 -1.0000e0
23.20 172.7740 1.5947e2 0.0000e0 -1.0000e0
23.30 144.0252 1.3072e2 -2.3704e-12 -1.0000e0
23.40 120.4060 1.0710e2 0.0000e0 -1.0000e0
23.50 100.9667 8.7663e1 0.0000e0 -1.0000e0
23.60 84.9440 7.1640e1 0.0000e0 -1.0000e0
23.70 71.7234 5.8420e1 0.0000e0 -1.0000e0
23.80 60.8067 4.7503e1 4.3748e-9 -1.0000e0
23.90 51.7870 3.8483e1 1.8686e-5 -1.0000e0
24.00 44.3323 3.1029e1 5.4817e-3 -1.0000e0
24.10 38.1629 2.4903e1 1.8125e-1 -1.0000e0
24.20 32.8640 2.0081e1 5.0103e-1 -1.0000e0
24.30 27.5330 1.5056e1 5.9621e-1 -1.0000e0
24.40 22.5664 9.9877e0 9.4426e-1 -1.0000e0
24.50 18.5460 6.0285e0 7.9772e-1 -1.0000e0
24.60 15.4031 2.9859e0 6.2230e-1 -1.0000e0
24.70 12.9784 6.5306e-1 5.1055e-1 -1.0000e0
24.80 11.1271 -1.1102e0 4.7945e-1 -9.9999e-1
24.90 9.7226 -2.4049e0 5.2564e-1 -9.9994e-1
25.00 8.6493 -3.3218e0 5.6058e-1 -9.9982e-1
25.10 7.8074 -3.9817e0 4.9129e-1 -9.9959e-1
25.20 7.1275 -4.5118e0 4.4718e-1 -9.9920e-1
25.30 6.5753 -4.9570e0 6.0842e-1 -9.9861e-1
25.40 6.1316 -5.2854e0 9.2248e-1 -9.9783e-1
25.50 5.7726 -5.4756e0 1.1962e0 -9.9689e-1
25.60 5.4705 -5.5554e0 1.3316e0 -9.9579e-1
25.70 5.2004 -5.5659e0 1.4117e0 -9.9449e-1
25.80 4.9358 -5.5310e0 1.4652e0 -9.9282e-1
25.90 4.6405 -5.5246e0 1.4127e0 -9.9035e-1
26.00 4.2891 -5.6886e0 1.5262e0 -9.8628e-1
26.10 3.9013 -6.0425e0 2.0602e0 -9.7978e-1
26.20 3.5264 -6.4413e0 2.7171e0 -9.7059e-1
26.30 3.2017 -6.7583e0 3.2051e0 -9.5931e-1
26.40 2.9407 -6.9521e0 3.4874e0 -9.4717e-1
26.50 2.7432 -7.0245e0 3.6168e0 -9.3564e-1
26.60 2.6008 -6.9895e0 3.6389e0 -9.2579e-1
26.70 2.4980 -6.8680e0 3.5681e0 -9.1775e-1
26.80 2.4136 -6.6992e0 3.4118e0 -9.1051e-1
26.90 2.3280 -6.5411e0 3.2567e0 -9.0250e-1
27.00 2.2326 -6.4354e0 3.2398e0 -8.9275e-1
27.10 2.1317 -6.3734e0 3.3839e0 -8.8137e-1
27.20 2.0335 -6.3153e0 3.5680e0 -8.6912e-1
27.30 1.9414 -6.2335e0 3.6641e0 -8.5650e-1
27.40 1.8540 -6.1291e0 3.6510e0 -8.4339e-1
