# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 510.5536 5.0048e2 -9.8229e-11 -1.0000e0
23.50 198.5288 1.8845e2 1.2073e-4 -1.0000e0
24.00 55.8142 4.5736e1 8.9667e-6 -1.0000e0
24.50 18.6038 8.5756e0 2.3614e-1 -1.0000e0
25.00 7.3656 -1.5761e0 6.8874e-1 -9.9937e-1
25.50 4.1829 -4.1145e0 6.0673e-1 -9.8475e-1
26.00 3.1642 -4.5442e0 1.2123e0 -9.5775e-1
26.50 2.7071 -4.0544e0 1.5678e0 -9.3327e-1
27.00 2.2848 -3.3691e0 9.1968e-1 -8.9820e-1
27.50 1.6267 -3.4223e0 1.0543e0 -8.0342e-1
28.00 1.2960 -3.1966e0 9.6714e-1 -7.2636e-1
28.50 1.0390 -2.9552e0 1.0294e0 -6.4620e-1
29.00 0.7896 -2.7410e0 9.3936e-1 -5.4595e-1
29.50 0.5487 -2.6217e0 1.0664e0 -4.2230e-1
30.00 0.3964 -2.3775e0 9.6425e-1 -3.2724e-1
30.50 0.2155 -2.2378e0 9.7503e-1 -1.9386e-1
31.00 0.0496 -2.1658e0 1.1486e0 -4.8412e-2
31.50 -0.0988 -2.0943e0 1.2279e0 1.0379e-1
32.00 -0.1742 -1.9612e0 1.2443e0 1.9030e-1
32.50 -0.2009 -1.7414e0 9.0842e-1 2.2254e-1
33.00 -0.2381 -1.6112e0 8.5541e-1 2.6880e-1
33.50 -0.2744 -1.5180e0 8.8575e-1 3.1572e-1
34.00 -0.3024 -1.4405e0 9.7439e-1 3.5316e-1
34.50 -0.3046 -1.3052e0 8.3790e-1 3.5610e-1
35.00 -0.3062 -1.2233e0 8.2826e-1 3.5828e-1
35.50 -0.2923 -1.1206e0 7.8434e-1 3.3950e-1
36.00 -0.2819 -1.0103e0 6.8392e-1 3.2560e-1
36.50 -0.2802 -9.2547e-1 6.1454e-1 3.2340e-1
37.00 -0.2788 -8.6106e-1 6.0355e-1 3.2151e-1
37.50 -0.2839 -8.0868e-1 6.0644e-1 3.2823e-1
38.00 -0.2900 -7.5796e-1 5.7511e-1 3.3639e-1
38.50 -0.2801 -6.8101e-1 4.9917e-1 3.2322e-1
39.00 -0.2654 -6.0666e-1 4.2865e-1 3.0396e-1
39.50 -0.2442 -5.2994e-1 3.6103e-1 2.7661e-1
40.00 -0.2245 -4.6242e-1 3.0733e-1 2.5170e-1
40.50 -0.2078 -4.0935e-1 2.7878e-1 2.3098e-1
41.00 -0.1895 -3.5574e-1 2.3552e-1 2.0865e-1
41.50 -0.1684 -3.0688e-1 1.9860e-1 1.8338e-1
42.00 -0.1445 -2.5780e-1 1.6474e-1 1.5546e-1
42.50 -0.1247 -2.1843e-1 1.3695e-1 1.3278e-1
43.00 -0.1073 -1.8508e-1 1.1757e-1 1.1326e-1
43.50 -0.0927 -1.5522e-1 9.4700e-2 9.7146e-2
44.00 -0.0802 -1.3144e-1 7.9267e-2 8.3531e-2
44.50 -0.0685 -1.0879e-1 6.2322e-2 7.0886e-2
45.00 -0.0588 -8.9653e-2 4.7678e-2 6.0545e-2
45.50 -0.0509 -7.4476e-2 3.7741e-2 5.2226e-2
46.00 -0.0439 -6.1726e-2 2.9418e-2 4.4875e-2
46.50 -0.0372 -5.0386e-2 2.2653e-2 3.7861e-2
47.00 -0.0308 -3.9885e-2 1.5978e-2 3.1310e-2
47.50 -0.0252 -3.1137e-2 1.0612e-2 2.5558e-2
48.00 -0.0204 -2.4110e-2 6.6968e-3 2.0572e-2
48.50 -0.0159 -1.8407e-2 4.3376e-3 1.6059e-2
49.00 -0.0124 -1.3814e-2 2.5650e-3 1.2454e-2
49.50 -0.0095 -1.0424e-2 1.5121e-3 9.5206e-3
50.00 -0.0071 -7.7580e-3 8.8595e-4 7.1185e-3
50.50 -0.0053 -5.7332e-3 5.2344e-4 5.3010e-3
51.00 -0.0040 -4.2897e-3 3.0675e-4 4.0549e-3
51.50 -0.0030 -3.2070e-3 2.0327e-4 3.0434e-3
52.00 -0.0023 -2.3970e-3 1.0750e-4 2.2937e-3
52.50 -0.0017 -1.7687e-3 6.2304e-5 1.7398e-3
53.00 -0.0013 -1.3123e-3 3.6207e-5 1.2954e-3
53.50 -0.0010 -9.6334e-4 2.0724e-5 9.5357e-4
54.00 -0.0007 -7.0390e-4 1.1844e-5 6.9828e-4
54.50 -0.0005 -5.1160e-4 6.7447e-6 5.0839e-4
55.00 -0.0004 -3.6963e-4 3.8158e-6 3.6780e-4
55.50 -0.0003 -2.6516e-4 2.1369e-6 2.6413e-4
56.00 -0.0002 -1.8838e-4 1.1800e-6 1.8781e-4
56.50 -0.0001 -1.3249e-4 6.4240e-7 1.3218e-4
57.00 -0.0001 -9.2165e-5 3.4488e-7 9.1998e-5
57.50 -0.0001 -6.3184e-5 1.8194e-7 6.3095e-5
58.00 -0.0000 -4.2552e-5 9.3909e-8 4.2506e-5
58.50 -0.0000 -2.8139e-5 4.7301e-8 2.8116e-5
59.00 -0.0000 -1.8255e-5 2.3240e-8 1.8244e-5
59.50 -0.0000 -1.1507e-5 1.1046e-8 1.1502e-5
