# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 636.8588 6.2678e2 -1.1394e-11 -1.0000e0
23.50 246.8132 2.3673e2 7.9826e-6 -1.0000e0
24.00 67.8796 5.7801e1 1.2393e-7 -1.0000e0
24.50 21.2604 1.1199e1 9.5418e-2 -1.0000e0
25.00 7.3202 -1.8069e0 5.9873e-1 -9.9934e-1
25.50 3.5041 -4.9412e0 5.4761e-1 -9.6992e-1
26.00 2.4879 -5.3693e0 1.1325e0 -9.1692e-1
26.50 2.0589 -4.9428e0 1.7470e0 -8.7241e-1
27.00 1.7246 -4.1273e0 1.1298e0 -8.2175e-1
27.50 1.0544 -4.1918e0 1.2638e0 -6.5160e-1
28.00 0.7573 -3.9099e0 1.1244e0 -5.3106e-1
28.50 0.5316 -3.6690e0 1.3261e0 -4.1235e-1
29.00 0.3298 -3.3791e0 1.1914e0 -2.8096e-1
29.50 0.1152 -3.2349e0 1.3582e0 -1.0883e-1
30.00 -0.0047 -2.9491e0 1.2563e0 4.6716e-3
30.50 -0.1616 -2.7811e0 1.2608e0 1.7536e-1
31.00 -0.3208 -2.7372e0 1.5848e0 3.7829e-1
31.50 -0.4575 -2.6609e0 1.7280e0 5.8011e-1
32.00 -0.5203 -2.5365e0 1.9345e0 6.8248e-1
32.50 -0.5105 -2.2176e0 1.2980e0 6.6609e-1
33.00 -0.5301 -2.0640e0 1.2292e0 6.9903e-1
33.50 -0.5556 -1.9705e0 1.3064e0 7.4296e-1
34.00 -0.5778 -1.9159e0 1.5413e0 7.8215e-1
34.50 -0.5595 -1.7394e0 1.3485e0 7.4980e-1
35.00 -0.5513 -1.6503e0 1.3499e0 7.3544e-1
35.50 -0.5236 -1.5328e0 1.2999e0 6.8806e-1
36.00 -0.4940 -1.3839e0 1.1270e0 6.3889e-1
36.50 -0.4767 -1.2669e0 1.0040e0 6.1069e-1
37.00 -0.4627 -1.1860e0 9.9618e-1 5.8844e-1
37.50 -0.4560 -1.1179e0 9.9448e-1 5.7769e-1
38.00 -0.4520 -1.0484e0 9.3295e-1 5.7142e-1
38.50 -0.4282 -9.4457e-1 8.1596e-1 5.3446e-1
39.00 -0.3998 -8.4456e-1 7.1691e-1 4.9155e-1
39.50 -0.3629 -7.3770e-1 6.0973e-1 4.3748e-1
40.00 -0.3290 -6.4445e-1 5.2938e-1 3.8952e-1
40.50 -0.3014 -5.7526e-1 4.9417e-1 3.5177e-1
41.00 -0.2713 -4.9929e-1 4.1919e-1 3.1170e-1
41.50 -0.2395 -4.3083e-1 3.5824e-1 2.7064e-1
42.00 -0.2047 -3.6266e-1 3.0398e-1 2.2718e-1
42.50 -0.1759 -3.0685e-1 2.5235e-1 1.9235e-1
43.00 -0.1511 -2.6101e-1 2.1864e-1 1.6307e-1
43.50 -0.1296 -2.1807e-1 1.7435e-1 1.3837e-1
44.00 -0.1117 -1.8487e-1 1.4619e-1 1.1821e-1
44.50 -0.0947 -1.5239e-1 1.1408e-1 9.9335e-2
45.00 -0.0804 -1.2444e-1 8.5580e-2 8.3712e-2
45.50 -0.0689 -1.0282e-1 6.7165e-2 7.1278e-2
46.00 -0.0587 -8.4589e-2 5.1774e-2 6.0491e-2
46.50 -0.0492 -6.8632e-2 3.9649e-2 5.0481e-2
47.00 -0.0404 -5.3733e-2 2.7509e-2 4.1201e-2
47.50 -0.0327 -4.1444e-2 1.7855e-2 3.3230e-2
48.00 -0.0261 -3.1664e-2 1.1185e-2 2.6455e-2
48.50 -0.0203 -2.3940e-2 7.1087e-3 2.0515e-2
49.00 -0.0156 -1.7768e-2 4.1805e-3 1.5772e-2
49.50 -0.0119 -1.3294e-2 2.4452e-3 1.2015e-2
50.00 -0.0089 -9.8277e-3 1.4061e-3 8.9688e-3
50.50 -0.0066 -7.2268e-3 8.1401e-4 6.6655e-3
51.00 -0.0051 -5.3868e-3 4.8090e-4 5.0754e-3
51.50 -0.0038 -4.0206e-3 3.0301e-4 3.8069e-3
52.00 -0.0029 -2.9949e-3 1.6758e-4 2.8645e-3
52.50 -0.0022 -2.2059e-3 9.6600e-5 2.1613e-3
53.00 -0.0016 -1.6345e-3 5.6009e-5 1.6084e-3
53.50 -0.0012 -1.1985e-3 3.1975e-5 1.1835e-3
54.00 -0.0009 -8.7511e-4 1.8245e-5 8.6648e-4
54.50 -0.0006 -6.3573e-4 1.0380e-5 6.3078e-4
55.00 -0.0005 -4.5915e-4 5.8691e-6 4.5634e-4
55.50 -0.0003 -3.2931e-4 3.2862e-6 3.2773e-4
56.00 -0.0002 -2.3390e-4 1.8151e-6 2.3302e-4
56.50 -0.0002 -1.6445e-4 9.8876e-7 1.6397e-4
57.00 -0.0001 -1.1437e-4 5.3130e-7 1.1411e-4
57.50 -0.0001 -7.8370e-5 2.8052e-7 7.8233e-5
58.00 -0.0001 -5.2756e-5 1.4495e-7 5.2685e-5
58.50 -0.0000 -3.4874e-5 7.3121e-8 3.4838e-5
59.00 -0.0000 -2.2620e-5 3.5996e-8 2.2602e-5
59.50 -0.0000 -1.4260e-5 1.7151e-8 1.4252e-5
