# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 333.3887 3.2008e2 0.0000e0 -1.0000e0
23.10 275.5179 2.6221e2 -2.9424e-11 -1.0000e0
23.20 228.2034 2.1490e2 0.0000e0 -1.0000e0
23.30 189.4120 1.7611e2 0.0000e0 -1.0000e0
23.40 157.5369 1.4423e2 0.0000e0 -1.0000e0
23.50 131.2988 1.1800e2 2.4520e-12 -1.0000e0
23.60 109.6691 9.6365e1 0.0000e0 -1.0000e0
23.70 91.8197 7.8516e1 1.2260e-12 -1.0000e0
23.80 77.0789 6.3775e1 1.2260e-12 -1.0000e0
23.90 64.8982 5.1595e1 8.7490e-8 -1.0000e0
24.00 54.8299 4.1526e1 2.8249e-4 -1.0000e0
24.10 46.5053 3.3210e1 5.2592e-2 -1.0000e0
24.20 39.5087 2.6562e1 5.0286e-1 -1.0000e0
24.30 32.4564 1.9863e1 5.9699e-1 -1.0000e0
24.40 25.6798 1.2903e1 9.0162e-1 -1.0000e0
24.50 20.2504 7.5751e0 7.2322e-1 -1.0000e0
24.60 16.0281 3.4841e0 5.5728e-1 -1.0000e0
24.70 12.7804 3.4138e-1 4.4627e-1 -1.0000e0
24.80 10.3113 -2.0431e0 4.0054e-1 -9.9997e-1
24.90 8.4557 -3.8109e0 4.3279e-1 -9.9979e-1
25.00 7.0675 -5.0674e0 5.1945e-1 -9.9915e-1
25.10 6.0094 -5.9297e0 4.8832e-1 -9.9754e-1
25.20 5.1607 -6.5999e0 3.2364e-1 -9.9426e-1
25.30 4.4580 -7.2386e0 3.9192e-1 -9.8841e-1
25.40 3.8951 -7.8078e0 7.8933e-1 -9.7966e-1
25.50 3.4694 -8.1956e0 1.2851e0 -9.6886e-1
25.60 3.1541 -8.3631e0 1.6409e0 -9.5732e-1
25.70 2.9062 -8.3659e0 1.7617e0 -9.4532e-1
25.80 2.6832 -8.2816e0 1.7790e0 -9.3166e-1
25.90 2.4295 -8.1861e0 1.6859e0 -9.1192e-1
26.00 2.0630 -8.3363e0 1.6606e0 -8.7293e-1
26.10 1.5674 -8.9428e0 2.3864e0 -7.9142e-1
26.20 1.0480 -9.7068e0 3.2684e0 -6.4935e-1
26.30 0.6058 -1.0304e1 3.7789e0 -4.5436e-1
26.40 0.2750 -1.0661e1 4.0329e0 -2.4044e-1
26.50 0.0533 -1.0804e1 4.1889e0 -5.1915e-2
26.60 -0.0743 -1.0772e1 4.3136e0 7.7082e-2
26.70 -0.1292 -1.0598e1 4.4058e0 1.3786e-1
26.80 -0.1403 -1.0312e1 4.3920e0 1.5060e-1
26.90 -0.1441 -9.9848e0 4.2059e0 1.5500e-1
27.00 -0.1723 -9.7282e0 4.0276e0 1.8801e-1
27.10 -0.2309 -9.6025e0 4.1524e0 2.5978e-1
27.20 -0.3015 -9.5503e0 4.5364e0 3.5190e-1
27.30 -0.3652 -9.4780e0 4.8867e0 4.4080e-1
27.40 -0.4185 -9.3518e0 5.0189e0 5.1961e-1
27.50 -0.4661 -9.1937e0 4.9948e0 5.9373e-1
27.60 -0.5102 -9.0200e0 4.9301e0 6.6565e-1
27.70 -0.5505 -8.8252e0 4.7999e0 7.3410e-1
27.80 -0.5879 -8.6114e0 4.5429e0 8.0018e-1
27.90 -0.6239 -8.3936e0 4.1749e0 8.6612e-1
28.00 -0.6595 -8.1911e0 3.7863e0 9.3383e-1
28.10 -0.6956 -8.0170e0 3.4832e0 1.0049e0
28.20 -0.7339 -7.8742e0 3.3040e0 1.0832e0
28.30 -0.7792 -7.7692e0 3.2205e0 1.1798e0
28.40 -0.8360 -7.7198e0 3.2471e0 1.3071e0
28.50 -0.9030 -7.7320e0 3.4409e0 1.4669e0
28.60 -0.9724 -7.7802e0 3.7731e0 1.6442e0
28.70 -1.0358 -7.8271e0 4.1456e0 1.8174e0
28.80 -1.0888 -7.8483e0 4.4869e0 1.9706e0
28.90 -1.1296 -7.8322e0 4.7520e0 2.0945e0
29.00 -1.1582 -7.7746e0 4.9048e0 2.1841e0
29.10 -1.1751 -7.6765e0 4.9301e0 2.2383e0
29.20 -1.1830 -7.5471e0 4.8429e0 2.2641e0
29.30 -1.1863 -7.4053e0 4.6983e0 2.2748e0
29.40 -1.1891 -7.2705e0 4.5696e0 2.2841e0
29.50 -1.1935 -7.1515e0 4.4894e0 2.2986e0
29.60 -1.1998 -7.0497e0 4.4528e0 2.3194e0
29.70 -1.2070 -6.9636e0 4.4549e0 2.3435e0
29.80 -1.2141 -6.8915e0 4.4994e0 2.3671e0
29.90 -1.2200 -6.8320e0 4.6003e0 2.3872e0
30.00 -1.2242 -6.7826e0 4.7667e0 2.4015e0
30.10 -1.2260 -6.7342e0 4.9596e0 2.4074e0
30.20 -1.2245 -6.6750e0 5.1012e0 2.4023e0
30.30 -1.2196 -6.5978e0 5.1349e0 2.3859e0
30.40 -1.2121 -6.5024e0 5.0522e0 2.3607e0
30.50 -1.2043 -6.3969e0 4.8838e0 2.3344e0
30.60 -1.2000 -6.2991e0 4.6940e0 2.3202e0
30.70 -1.2038 -6.2339e0 4.5867e0 2.3327e0
30.80 -1.2177 -6.2195e0 4.6635e0 2.3794e0
30.90 -1.2399 -6.2529e0 4.9381e0 2.4553e0
31.00 -1.2659 -6.3135e0 5.3316e0 2.5463e0
31.10 -1.2907 -6.3780e0 5.7625e0 2.6354e0
31.20 -1.3098 -6.4234e0 6.1706e0 2.7055e0
31.30 -1.3200 -6.4267e0 6.4714e0 2.7432e0
31.40 -1.3208 -6.3744e0 6.5645e0 2.7465e0
31.50 -1.3158 -6.2759e0 6.4200e0 2.7276e0
31.60 -1.3095 -6.1579e0 6.1215e0 2.7042e0
31.70 -1.3048 -6.0447e0 5.7981e0 2.6870e0
31.80 -1.3019 -5.9439e0 5.5226e0 2.6762e0
31.90 -1.2997 -5.8522e0 5.2954e0 2.6683e0
32.00 -1.2979 -5.7655e0 5.0927e0 2.6615e0
32.10 -1.2961 -5.6827e0 4.9062e0 2.6551e0
32.20 -1.2945 -5.6042e0 4.7421e0 2.6490e0
32.30 -1.2929 -5.5301e0 4.6062e0 2.6432e0
32.40 -1.2914 -5.4607e0 4.5015e0 2.6379e0
32.50 -1.2901 -5.3960e0 4.4262e0 2.6333e0
32.60 -1.2886 -5.3347e0 4.3716e0 2.6279e0
32.70 -1.2862 -5.2739e0 4.3253e0 2.6191e0
32.80 -1.2823 -5.2111e0 4.2781e0 2.6049e0
32.90 -1.2770 -5.1456e0 4.2281e0 2.5857e0
33.00 -1.2711 -5.0803e0 4.1847e0 2.5647e0
33.10 -1.2660 -5.0215e0 4.1740e0 2.5467e0
33.20 -1.2629 -4.9757e0 4.2355e0 2.5358e0
33.30 -1.2620 -4.9436e0 4.3825e0 2.5324e0
33.40 -1.2626 -4.9187e0 4.5694e0 2.5347e0
33.50 -1.2646 -4.8942e0 4.7275e0 2.5418e0
33.60 -1.2683 -4.8698e0 4.8280e0 2.5548e0
33.70 -1.2736 -4.8475e0 4.8876e0 2.5736e0
33.80 -1.2794 -4.8248e0 4.9161e0 2.5943e0
33.90 -1.2842 -4.7952e0 4.8986e0 2.6116e0
34.00 -1.2871 -4.7549e0 4.8230e0 2.6221e0
34.10 -1.2882 -4.7057e0 4.7036e0 2.6261e0
34.20 -1.2881 -4.6530e0 4.5723e0 2.6258e0
34.30 -1.2874 -4.6015e0 4.4563e0 2.6235e0
34.40 -1.2868 -4.5542e0 4.3698e0 2.6212e0
34.50 -1.2866 -4.5141e0 4.3235e0 2.6206e0
34.60 -1.2871 -4.4832e0 4.3311e0 2.6222e0
34.70 -1.2874 -4.4580e0 4.3874e0 2.6232e0
34.80 -1.2861 -4.4296e0 4.4490e0 2.6186e0
34.90 -1.2825 -4.3898e0 4.4618e0 2.6056e0
35.00 -1.2772 -4.3383e0 4.4049e0 2.5865e0
35.10 -1.2714 -4.2815e0 4.2993e0 2.5660e0
35.20 -1.2665 -4.2271e0 4.1851e0 2.5485e0
35.30 -1.2630 -4.1795e0 4.0917e0 2.5359e0
35.40 -1.2608 -4.1393e0 4.0267e0 2.5281e0
35.50 -1.2599 -4.1062e0 3.9877e0 2.5251e0
35.60 -1.2605 -4.0798e0 3.9719e0 2.5271e0
35.70 -1.2626 -4.0604e0 3.9786e0 2.5347e0
35.80 -1.2665 -4.0499e0 4.0186e0 2.5484e0
35.90 -1.2719 -4.0499e0 4.1166e0 2.5675e0
36.00 -1.2776 -4.0575e0 4.2791e0 2.5881e0
36.10 -1.2821 -4.0636e0 4.4652e0 2.6042e0
36.20 -1.2838 -4.0578e0 4.6056e0 2.6105e0
36.30 -1.2822 -4.0346e0 4.6527e0 2.6047e0
36.40 -1.2776 -3.9952e0 4.6035e0 2.5880e0
36.50 -1.2709 -3.9446e0 4.4866e0 2.5639e0
36.60 -1.2631 -3.8896e0 4.3421e0 2.5365e0
36.70 -1.2556 -3.8366e0 4.2080e0 2.5098e0
36.80 -1.2489 -3.7896e0 4.1088e0 2.4865e0
36.90 -1.2435 -3.7499e0 4.0503e0 2.4676e0
37.00 -1.2393 -3.7163e0 4.0202e0 2.4531e0
37.10 -1.2362 -3.6870e0 4.0011e0 2.4426e0
37.20 -1.2342 -3.6614e0 3.9843e0 2.4356e0
37.30 -1.2328 -3.6392e0 3.9727e0 2.4308e0
37.40 -1.2314 -3.6188e0 3.9692e0 2.4260e0
37.50 -1.2292 -3.5966e0 3.9642e0 2.4185e0
37.60 -1.2258 -3.5697e0 3.9447e0 2.4069e0
37.70 -1.2216 -3.5391e0 3.9104e0 2.3926e0
37.80 -1.2172 -3.5081e0 3.8761e0 2.3778e0
37.90 -1.2132 -3.4797e0 3.8564e0 2.3643e0
38.00 -1.2096 -3.4544e0 3.8532e0 2.3520e0
38.10 -1.2060 -3.4306e0 3.8583e0 2.3402e0
38.20 -1.2023 -3.4064e0 3.8614e0 2.3276e0
38.30 -1.1978 -3.3797e0 3.8531e0 2.3129e0
38.40 -1.1925 -3.3490e0 3.8263e0 2.2953e0
38.50 -1.1863 -3.3143e0 3.7792e0 2.2750e0
38.60 -1.1795 -3.2770e0 3.7186e0 2.2528e0
38.70 -1.1724 -3.2395e0 3.6567e0 2.2297e0
38.80 -1.1652 -3.2033e0 3.6034e0 2.2067e0
38.90 -1.1581 -3.1685e0 3.5594e0 2.1839e0
39.00 -1.1510 -3.1349e0 3.5205e0 2.1613e0
39.10 -1.1439 -3.1026e0 3.4866e0 2.1389e0
39.20 -1.1367 -3.0715e0 3.4606e0 2.1164e0
39.30 -1.1292 -3.0406e0 3.4409e0 2.0933e0
39.40 -1.1214 -3.0084e0 3.4193e0 2.0690e0
39.50 -1.1129 -2.9738e0 3.3873e0 2.0432e0
39.60 -1.1040 -2.9366e0 3.3421e0 2.0162e0
39.70 -1.0948 -2.8977e0 3.2869e0 1.9887e0
39.80 -1.0857 -2.8591e0 3.2297e0 1.9616e0
39.90 -1.0769 -2.8222e0 3.1794e0 1.9357e0
40.00 -1.0685 -2.7880e0 3.1409e0 1.9111e0
40.10 -1.0605 -2.7564e0 3.1139e0 1.8878e0
40.20 -1.0527 -2.7266e0 3.0951e0 1.8652e0
40.30 -1.0447 -2.6976e0 3.0802e0 1.8426e0
40.40 -1.0365 -2.6679e0 3.0632e0 1.8192e0
40.50 -1.0277 -2.6364e0 3.0386e0 1.7947e0
40.60 -1.0186 -2.6029e0 3.0037e0 1.7693e0
40.70 -1.0094 -2.5683e0 2.9609e0 1.7439e0
40.80 -1.0004 -2.5345e0 2.9170e0 1.7193e0
40.90 -0.9918 -2.5029e0 2.8800e0 1.6962e0
41.00 -0.9839 -2.4744e0 2.8544e0 1.6747e0
41.10 -0.9763 -2.4489e0 2.8408e0 1.6547e0
41.20 -0.9693 -2.4269e0 2.8418e0 1.6362e0
41.30 -0.9628 -2.4092e0 2.8649e0 1.6191e0
41.40 -0.9567 -2.3957e0 2.9137e0 1.6030e0
41.50 -0.9504 -2.3837e0 2.9764e0 1.5867e0
41.60 -0.9435 -2.3696e0 3.0306e0 1.5689e0
41.70 -0.9358 -2.3512e0 3.0597e0 1.5493e0
41.80 -0.9275 -2.3288e0 3.0623e0 1.5282e0
41.90 -0.9189 -2.3045e0 3.0495e0 1.5064e0
42.00 -0.9101 -2.2801e0 3.0359e0 1.4845e0
42.10 -0.9012 -2.2564e0 3.0293e0 1.4624e0
42.20 -0.8922 -2.2327e0 3.0268e0 1.4404e0
42.30 -0.8832 -2.2087e0 3.0226e0 1.4185e0
42.40 -0.8742 -2.1849e0 3.0148e0 1.3971e0
42.50 -0.8655 -2.1617e0 3.0067e0 1.3762e0
42.60 -0.8568 -2.1391e0 3.0009e0 1.3556e0
42.70 -0.8480 -2.1164e0 2.9955e0 1.3350e0
42.80 -0.8390 -2.0926e0 2.9851e0 1.3140e0
42.90 -0.8296 -2.0668e0 2.9644e0 1.2924e0
43.00 -0.8198 -2.0387e0 2.9305e0 1.2700e0
43.10 -0.8096 -2.0083e0 2.8843e0 1.2469e0
43.20 -0.7992 -1.9769e0 2.8310e0 1.2238e0
43.30 -0.7891 -1.9465e0 2.7804e0 1.2014e0
43.40 -0.7794 -1.9189e0 2.7438e0 1.1802e0
43.50 -0.7703 -1.8951e0 2.7280e0 1.1605e0
43.60 -0.7615 -1.8740e0 2.7295e0 1.1416e0
43.70 -0.7528 -1.8536e0 2.7367e0 1.1229e0
43.80 -0.7438 -1.8321e0 2.7374e0 1.1039e0
43.90 -0.7344 -1.8085e0 2.7243e0 1.0843e0
44.00 -0.7245 -1.7824e0 2.6967e0 1.0638e0
44.10 -0.7142 -1.7540e0 2.6577e0 1.0425e0
44.20 -0.7034 -1.7237e0 2.6110e0 1.0206e0
44.30 -0.6922 -1.6918e0 2.5585e0 9.9820e-1
44.40 -0.6809 -1.6588e0 2.5014e0 9.7571e-1
44.50 -0.6696 -1.6253e0 2.4413e0 9.5344e-1
44.60 -0.6584 -1.5919e0 2.3803e0 9.3160e-1
44.70 -0.6473 -1.5591e0 2.3202e0 9.1035e-1
44.80 -0.6365 -1.5272e0 2.2626e0 8.8979e-1
44.90 -0.6259 -1.4966e0 2.2092e0 8.7002e-1
45.00 -0.6158 -1.4678e0 2.1624e0 8.5118e-1
45.10 -0.6061 -1.4412e0 2.1244e0 8.3332e-1
45.20 -0.5969 -1.4167e0 2.0957e0 8.1643e-1
45.30 -0.5881 -1.3942e0 2.0750e0 8.0049e-1
45.40 -0.5797 -1.3735e0 2.0612e0 7.8548e-1
45.50 -0.5718 -1.3547e0 2.0537e0 7.7142e-1
45.60 -0.5643 -1.3377e0 2.0527e0 7.5822e-1
45.70 -0.5572 -1.3224e0 2.0579e0 7.4572e-1
45.80 -0.5502 -1.3083e0 2.0680e0 7.3368e-1
45.90 -0.5434 -1.2949e0 2.0803e0 7.2186e-1
46.00 -0.5365 -1.2817e0 2.0939e0 7.1008e-1
46.10 -0.5296 -1.2686e0 2.1087e0 6.9818e-1
46.20 -0.5223 -1.2549e0 2.1230e0 6.8592e-1
46.30 -0.5147 -1.2398e0 2.1319e0 6.7306e-1
46.40 -0.5065 -1.2225e0 2.1302e0 6.5946e-1
46.50 -0.4978 -1.2027e0 2.1152e0 6.4514e-1
46.60 -0.4887 -1.1807e0 2.0875e0 6.3024e-1
46.70 -0.4794 -1.1571e0 2.0500e0 6.1504e-1
46.80 -0.4699 -1.1327e0 2.0063e0 5.9982e-1
46.90 -0.4605 -1.1083e0 1.9610e0 5.8485e-1
47.00 -0.4512 -1.0846e0 1.9180e0 5.7025e-1
47.10 -0.4421 -1.0618e0 1.8788e0 5.5600e-1
47.20 -0.4331 -1.0394e0 1.8428e0 5.4197e-1
47.30 -0.4240 -1.0169e0 1.8073e0 5.2803e-1
47.40 -0.4149 -9.9410e-1 1.7703e0 5.1416e-1
47.50 -0.4058 -9.7104e-1 1.7312e0 5.0046e-1
47.60 -0.3968 -9.4827e-1 1.6916e0 4.8711e-1
47.70 -0.3882 -9.2645e-1 1.6547e0 4.7431e-1
47.80 -0.3799 -9.0598e-1 1.6230e0 4.6213e-1
47.90 -0.3719 -8.8674e-1 1.5963e0 4.5049e-1
48.00 -0.3641 -8.6815e-1 1.5721e0 4.3922e-1
48.10 -0.3564 -8.4956e-1 1.5467e0 4.2819e-1
