# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 601.4945 5.9142e2 -1.0479e-10 -1.0000e0
23.50 233.1147 2.2304e2 1.5390e-5 -1.0000e0
24.00 64.3720 5.4293e1 4.5150e-7 -1.0000e0
24.50 20.3943 1.0338e1 1.2157e-1 -1.0000e0
25.00 7.2460 -1.8266e0 6.3323e-1 -9.9929e-1
25.50 3.6058 -4.7971e0 5.5644e-1 -9.7283e-1
26.00 2.5605 -5.2911e0 1.2284e0 -9.2273e-1
26.50 2.1435 -4.8334e0 1.8045e0 -8.8276e-1
27.00 1.8090 -3.9956e0 1.0859e0 -8.3618e-1
27.50 1.1410 -4.0690e0 1.2651e0 -6.8051e-1
28.00 0.8403 -3.7954e0 1.1184e0 -5.6844e-1
28.50 0.6131 -3.5444e0 1.2776e0 -4.5835e-1
29.00 0.4000 -3.2739e0 1.1514e0 -3.2970e-1
29.50 0.1782 -3.1457e0 1.3352e0 -1.6320e-1
30.00 0.0565 -2.8602e0 1.2213e0 -5.4916e-2
30.50 -0.1043 -2.6991e0 1.2365e0 1.0996e-1
31.00 -0.2634 -2.6503e0 1.5451e0 3.0130e-1
31.50 -0.4022 -2.5788e0 1.6903e0 4.9509e-1
32.00 -0.4637 -2.4463e0 1.8595e0 5.9000e-1
32.50 -0.4582 -2.1382e0 1.2466e0 5.8129e-1
33.00 -0.4789 -1.9851e0 1.1745e0 6.1426e-1
33.50 -0.5044 -1.8885e0 1.2396e0 6.5607e-1
34.00 -0.5253 -1.8247e0 1.4411e0 6.9097e-1
34.50 -0.5088 -1.6511e0 1.2442e0 6.6337e-1
35.00 -0.5007 -1.5600e0 1.2384e0 6.4986e-1
35.50 -0.4737 -1.4404e0 1.1794e0 6.0586e-1
36.00 -0.4469 -1.2974e0 1.0184e0 5.6352e-1
36.50 -0.4324 -1.1871e0 9.0896e-1 5.4090e-1
37.00 -0.4210 -1.1105e0 9.0422e-1 5.2352e-1
37.50 -0.4173 -1.0481e0 9.1065e-1 5.1787e-1
38.00 -0.4154 -9.8316e-1 8.5741e-1 5.1502e-1
38.50 -0.3939 -8.8299e-1 7.4294e-1 4.8274e-1
39.00 -0.3679 -7.8675e-1 6.4472e-1 4.4467e-1
39.50 -0.3343 -6.8622e-1 5.4529e-1 3.9692e-1
40.00 -0.3035 -5.9857e-1 4.6975e-1 3.5457e-1
40.50 -0.2783 -5.3260e-1 4.3438e-1 3.2084e-1
41.00 -0.2509 -4.6204e-1 3.6765e-1 2.8521e-1
41.50 -0.2216 -3.9829e-1 3.1249e-1 2.4809e-1
42.00 -0.1894 -3.3479e-1 2.6321e-1 2.0854e-1
42.50 -0.1628 -2.8329e-1 2.1870e-1 1.7685e-1
43.00 -0.1398 -2.4063e-1 1.8904e-1 1.5003e-1
43.50 -0.1200 -2.0112e-1 1.5100e-1 1.2754e-1
44.00 -0.1035 -1.7034e-1 1.2642e-1 1.0903e-1
44.50 -0.0878 -1.4044e-1 9.8628e-2 9.1770e-2
45.00 -0.0747 -1.1494e-1 7.4375e-2 7.7552e-2
45.50 -0.0641 -9.5088e-2 5.8484e-2 6.6216e-2
46.00 -0.0548 -7.8386e-2 4.5242e-2 5.6354e-2
46.50 -0.0461 -6.3693e-2 3.4674e-2 4.7144e-2
47.00 -0.0379 -5.0004e-2 2.4175e-2 3.8591e-2
47.50 -0.0307 -3.8669e-2 1.5759e-2 3.1202e-2
48.00 -0.0246 -2.9636e-2 9.8803e-3 2.4903e-2
48.50 -0.0192 -2.2462e-2 6.3080e-3 1.9342e-2
49.00 -0.0148 -1.6717e-2 3.7161e-3 1.4901e-2
49.50 -0.0113 -1.2532e-2 2.1775e-3 1.1360e-2
50.00 -0.0084 -9.2795e-3 1.2569e-3 8.4827e-3
50.50 -0.0063 -6.8318e-3 7.3067e-4 6.3068e-3
51.00 -0.0048 -5.0966e-3 4.3135e-4 4.8069e-3
51.50 -0.0036 -3.8051e-3 2.7472e-4 3.6055e-3
52.00 -0.0027 -2.8365e-3 1.5044e-4 2.7137e-3
52.50 -0.0020 -2.0900e-3 8.6808e-5 2.0499e-3
53.00 -0.0015 -1.5490e-3 5.0361e-5 1.5254e-3
53.50 -0.0011 -1.1360e-3 2.8765e-5 1.1225e-3
54.00 -0.0008 -8.2955e-4 1.6417e-5 8.2177e-4
54.50 -0.0006 -6.0265e-4 9.3408e-6 5.9820e-4
55.00 -0.0004 -4.3527e-4 5.2815e-6 4.3274e-4
55.50 -0.0003 -3.1217e-4 2.9567e-6 3.1075e-4
56.00 -0.0002 -2.2173e-4 1.6326e-6 2.2094e-4
56.50 -0.0002 -1.5591e-4 8.8894e-7 1.5548e-4
57.00 -0.0001 -1.0844e-4 4.7739e-7 1.0820e-4
57.50 -0.0001 -7.4318e-5 2.5193e-7 7.4195e-5
58.00 -0.0000 -5.0038e-5 1.3009e-7 4.9974e-5
58.50 -0.0000 -3.3082e-5 6.5571e-8 3.3050e-5
59.00 -0.0000 -2.1459e-5 3.2246e-8 2.1443e-5
59.50 -0.0000 -1.3528e-5 1.5344e-8 1.3520e-5
