# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
23.00 581.2733 5.7119e2 8.7311e-12 -1.0000e0
23.50 225.1578 2.1508e2 2.0703e-5 -1.0000e0
24.00 62.2769 5.2198e1 9.9742e-7 -1.0000e0
24.50 19.8137 9.7611e0 1.3901e-1 -1.0000e0
25.00 7.1366 -1.8938e0 6.4911e-1 -9.9920e-1
25.50 3.5960 -4.7787e0 5.6406e-1 -9.7257e-1
26.00 2.5106 -5.3671e0 1.3521e0 -9.1878e-1
26.50 2.1188 -4.8719e0 1.9109e0 -8.7982e-1
27.00 1.7998 -3.9859e0 1.0841e0 -8.3467e-1
27.50 1.1327 -4.0719e0 1.3132e0 -6.7784e-1
28.00 0.8349 -3.7971e0 1.1495e0 -5.6607e-1
28.50 0.6113 -3.5351e0 1.2823e0 -4.5733e-1
29.00 0.3929 -3.2759e0 1.1625e0 -3.2494e-1
29.50 0.1676 -3.1634e0 1.3781e0 -1.5427e-1
30.00 0.0508 -2.8683e0 1.2489e0 -4.9513e-2
30.50 -0.1105 -2.7118e0 1.2789e0 1.1687e-1
31.00 -0.2682 -2.6634e0 1.6001e0 3.0760e-1
31.50 -0.4074 -2.5986e0 1.7686e0 5.0292e-1
32.00 -0.4645 -2.4571e0 1.9301e0 5.9122e-1
32.50 -0.4563 -2.1394e0 1.2738e0 5.7826e-1
33.00 -0.4745 -1.9816e0 1.1924e0 6.0721e-1
33.50 -0.4980 -1.8814e0 1.2532e0 6.4542e-1
34.00 -0.5162 -1.8119e0 1.4465e0 6.7563e-1
34.50 -0.4978 -1.6334e0 1.2335e0 6.4506e-1
35.00 -0.4877 -1.5383e0 1.2197e0 6.2859e-1
35.50 -0.4588 -1.4130e0 1.1471e0 5.8216e-1
36.00 -0.4317 -1.2691e0 9.8428e-1 5.3987e-1
36.50 -0.4173 -1.1602e0 8.7970e-1 5.1790e-1
37.00 -0.4067 -1.0858e0 8.8071e-1 5.0187e-1
37.50 -0.4044 -1.0272e0 8.9606e-1 4.9848e-1
38.00 -0.4031 -9.6365e-1 8.4530e-1 4.9640e-1
38.50 -0.3815 -8.6228e-1 7.2462e-1 4.6444e-1
39.00 -0.3556 -7.6535e-1 6.2130e-1 4.2700e-1
39.50 -0.3228 -6.6622e-1 5.2249e-1 3.8103e-1
40.00 -0.2930 -5.8017e-1 4.4743e-1 3.4049e-1
40.50 -0.2686 -5.1504e-1 4.1116e-1 3.0808e-1
41.00 -0.2422 -4.4641e-1 3.4706e-1 2.7408e-1
41.50 -0.2138 -3.8439e-1 2.9380e-1 2.3839e-1
42.00 -0.1826 -3.2269e-1 2.4636e-1 2.0039e-1
42.50 -0.1570 -2.7296e-1 2.0475e-1 1.6996e-1
43.00 -0.1347 -2.3160e-1 1.7677e-1 1.4416e-1
43.50 -0.1156 -1.9349e-1 1.4113e-1 1.2259e-1
44.00 -0.0996 -1.6367e-1 1.1791e-1 1.0476e-1
44.50 -0.0845 -1.3485e-1 9.1786e-2 8.8182e-2
45.00 -0.0719 -1.1045e-1 6.9388e-2 7.4598e-2
45.50 -0.0618 -9.1414e-2 5.4616e-2 6.3774e-2
46.00 -0.0529 -7.5435e-2 4.2343e-2 5.4349e-2
46.50 -0.0445 -6.1337e-2 3.2464e-2 4.5520e-2
47.00 -0.0366 -4.8210e-2 2.2688e-2 3.7309e-2
47.50 -0.0297 -3.7308e-2 1.4801e-2 3.0193e-2
48.00 -0.0238 -2.8631e-2 9.2705e-3 2.4125e-2
48.50 -0.0186 -2.1725e-2 5.9330e-3 1.8750e-2
49.00 -0.0144 -1.6189e-2 3.4974e-3 1.4459e-2
49.50 -0.0110 -1.2146e-2 2.0497e-3 1.1024e-2
50.00 -0.0082 -8.9990e-3 1.1852e-3 8.2322e-3
50.50 -0.0061 -6.6282e-3 6.9030e-4 6.1210e-3
51.00 -0.0047 -4.9461e-3 4.0701e-4 4.6670e-3
51.50 -0.0035 -3.6927e-3 2.6073e-4 3.5001e-3
52.00 -0.0026 -2.7534e-3 1.4190e-4 2.6345e-3
52.50 -0.0020 -2.0290e-3 8.1913e-5 1.9910e-3
53.00 -0.0015 -1.5037e-3 4.7524e-5 1.4815e-3
53.50 -0.0011 -1.1028e-3 2.7148e-5 1.0900e-3
54.00 -0.0008 -8.0528e-4 1.5494e-5 7.9794e-4
54.50 -0.0006 -5.8499e-4 8.8144e-6 5.8079e-4
55.00 -0.0004 -4.2248e-4 4.9830e-6 4.2009e-4
55.50 -0.0003 -3.0297e-4 2.7889e-6 3.0163e-4
56.00 -0.0002 -2.1519e-4 1.5393e-6 2.1444e-4
56.50 -0.0002 -1.5131e-4 8.3775e-7 1.5091e-4
57.00 -0.0001 -1.0524e-4 4.4964e-7 1.0503e-4
57.50 -0.0001 -7.2141e-5 2.3716e-7 7.2025e-5
58.00 -0.0000 -4.8580e-5 1.2239e-7 4.8520e-5
58.50 -0.0000 -3.2123e-5 6.1639e-8 3.2093e-5
59.00 -0.0000 -2.0839e-5 3.0282e-8 2.0824e-5
59.50 -0.0000 -1.3135e-5 1.4392e-8 1.3128e-5
